Date,Open,High,Low,Close,Adj Close,Volume,Next High,Next Low
06-10-2008,40,40,15.8,16.775,14.142854,23501600,19,13.925
07-10-2008,16,19,13.925,15.025,12.667443,9113400,14.6,12.55
08-10-2008,14,14.6,12.55,13.25,11.170957,2464384,12.45,10.825
10-10-2008,12.45,12.45,10.825,11.6,9.779856,1207928,13.3,11.65
13-10-2008,12.15,13.3,11.65,12.325,10.391097,898692,13,10.75
14-10-2008,12.825,13,10.75,11.075,9.337234,673088,12.775,10.025
15-10-2008,10.65,12.775,10.025,12.175,10.264633,1126836,14.625,10.8
16-10-2008,11.025,14.625,10.8,13.25,11.170957,1944000,14.35,10.975
17-10-2008,14.025,14.35,10.975,10.975,9.252925,1806200,11.625,9.85
20-10-2008,11.25,11.625,9.85,10.875,9.168615,722818,11.475,10.55
21-10-2008,11.4,11.475,10.55,10.85,9.147537,177410,11.1,10
22-10-2008,10.925,11.1,10,10.15,8.557374,328698,10.125,8.15
23-10-2008,9.15,10.125,8.15,9.5,8.009364,108936,9.95,8.025
24-10-2008,8.625,9.95,8.025,8.25,6.9555,122200,8.475,6.75
27-10-2008,7.625,8.475,6.75,7.3,6.154564,141400,9.55,8
29-10-2008,9.55,9.55,8,8.3,6.997655,120276,9.3,8.35
31-10-2008,8.6,9.3,8.35,8.625,7.271659,141526,9,8.375
03-11-2008,8.9,9,8.375,8.625,7.271659,109362,9.75,8.25
04-11-2008,8.5,9.75,8.25,9.075,7.651051,227414,9.725,7.45
05-11-2008,9.15,9.725,7.45,9.05,7.629973,233216,9.4,8.55
06-11-2008,8.575,9.4,8.55,9,7.587819,81298,10.8,8.8
07-11-2008,8.8,10.8,8.8,10.35,8.725991,490888,11.175,9.825
10-11-2008,10.6,11.175,9.825,9.95,8.388757,304862,10.025,9.125
11-11-2008,10.025,10.025,9.125,9.2,7.756437,71050,9.425,8.775
12-11-2008,9.2,9.425,8.775,9.225,7.777515,137950,9.6,9.075
14-11-2008,9.5,9.6,9.075,9.15,7.714283,48202,9.225,8.65
17-11-2008,9.1,9.225,8.65,8.875,7.482433,26806,9,8.35
18-11-2008,8.85,9,8.35,8.625,7.271659,26082,8.825,8.25
19-11-2008,8.575,8.825,8.25,8.325,7.018733,33194,8.5,8
20-11-2008,8,8.5,8,8.125,6.850114,19600,8.175,7.65
21-11-2008,7.9,8.175,7.65,7.975,6.723651,21100,8.775,7.875
24-11-2008,7.875,8.775,7.875,8.275,6.976578,34138,9.95,8.125
25-11-2008,8.4,9.95,8.125,8.525,7.187351,252226,8.825,8.275
26-11-2008,8.625,8.825,8.275,8.4,7.081964,22260,8.675,8.125
28-11-2008,8.125,8.675,8.125,8.3,6.997655,7086,8.575,7.525
01-12-2008,7.525,8.575,7.525,8.15,6.871191,30842,8.15,7.55
02-12-2008,8.15,8.15,7.55,7.85,6.618265,27134,8.225,7.85
03-12-2008,8,8.225,7.85,7.95,6.702574,12046,8.5,7.375
04-12-2008,7.375,8.5,7.375,7.975,6.723651,18264,8.75,7.825
05-12-2008,8.3,8.75,7.825,8.1,6.829037,40104,9,8
08-12-2008,9,9,8,8.175,6.892269,23222,8.975,8.025
10-12-2008,8.25,8.975,8.025,8.7,7.334892,68424,9.4,8.25
11-12-2008,8.375,9.4,8.25,9.175,7.735361,114544,9.225,8.025
12-12-2008,8.625,9.225,8.025,8.4,7.081964,74766,8.825,8.375
15-12-2008,8.825,8.825,8.375,8.525,7.187351,37698,9,8.525
16-12-2008,8.725,9,8.525,8.775,7.398123,31000,9.25,8.35
17-12-2008,8.975,9.25,8.35,8.45,7.124119,52140,8.5,8.125
18-12-2008,8.25,8.5,8.125,8.325,7.018733,21636,8.725,8.125
19-12-2008,8.475,8.725,8.125,8.175,6.892269,75652,8.6,8.175
22-12-2008,8.45,8.6,8.175,8.275,6.976578,26384,8.275,8
23-12-2008,8.125,8.275,8,8.125,6.850114,22350,8.175,7.75
24-12-2008,8.175,8.175,7.75,8,6.744729,34636,8.25,7.75
26-12-2008,8.15,8.25,7.75,7.825,6.597188,10050,8.15,7.55
