Date,Open,High,Low,Close,Adj Close,Volume,Next High,Next Low
23-12-2010,500,500,318.600006,328.149994,325.333252,30723700,349.950012,323.5
24-12-2010,330.049988,349.950012,323.5,332.100006,329.249359,9296960,339.950012,321.25
27-12-2010,336.899994,339.950012,321.25,325.450012,322.656464,1678278,328.899994,315.549988
28-12-2010,326,328.899994,315.549988,317.649994,314.923401,1342115,322.950012,315.149994
29-12-2010,318.799988,322.950012,315.149994,317,314.278992,774595,337.899994,315.100006
30-12-2010,318.799988,337.899994,315.100006,329.799988,326.969086,2744603,334.899994,322.049988
31-12-2010,330.799988,334.899994,322.049988,323.899994,321.119751,680108,333.600006,325.049988
03-01-2011,325.049988,333.600006,325.049988,327.149994,324.341858,720202,344.399994,326.549988
04-01-2011,329.75,344.399994,326.549988,335.75,332.868042,1802783,346.399994,334.149994
05-01-2011,337,346.399994,334.149994,337.299988,334.404724,1062775,340.75,322.899994
06-01-2011,339.25,340.75,322.899994,326.649994,323.84613,749954,330.549988,312.149994
07-01-2011,323,330.549988,312.149994,314.399994,311.701294,533771,322.600006,303.549988
10-01-2011,314.649994,322.600006,303.549988,308.299988,305.653656,395895,315,299
11-01-2011,307.200012,315,299,302.75,300.151306,287643,307.799988,295.25
12-01-2011,305.950012,307.799988,295.25,304.25,301.638428,325444,321,301
13-01-2011,305,321,301,303.799988,301.192261,668728,316.850006,295.649994
14-01-2011,305.200012,316.850006,295.649994,300.299988,297.722321,451606,304.799988,296.100006
17-01-2011,300.700012,304.799988,296.100006,298.75,296.185638,246044,303,297.25
18-01-2011,300.75,303,297.25,300.649994,298.069305,166202,310.5,299
19-01-2011,301.75,310.5,299,300.299988,297.722321,226369,306,297
20-01-2011,299,306,297,302.649994,300.052155,92429,309.799988,301.149994
21-01-2011,304.399994,309.799988,301.149994,302.700012,300.101746,119342,306.950012,301.549988
24-01-2011,304.700012,306.950012,301.549988,302.350006,299.75473,84025,304.350006,297.5
25-01-2011,300,304.350006,297.5,298.899994,296.334351,84205,304.5,292.200012
27-01-2011,300,304.5,292.200012,294.649994,292.120819,98609,296.450012,276.899994
28-01-2011,291,296.450012,276.899994,279.600006,277.200012,140878,274,259
31-01-2011,272.100006,274,259,266.25,263.9646,109795,299.850006,265.100006
01-02-2011,268,299.850006,265.100006,271.700012,269.367828,290144,282,273
02-02-2011,273.950012,282,273,275.350006,272.986481,78042,282,274.75
03-02-2011,279.799988,282,274.75,276.649994,274.27533,77842,282,271.100006
04-02-2011,275,282,271.100006,272.450012,270.111389,53299,279,261
07-02-2011,272.549988,279,261,263.399994,261.139069,74552,267.200012,243
08-02-2011,264,267.200012,243,248.199997,246.069534,160266,251.850006,205.5
09-02-2011,250.050003,251.850006,205.5,219.100006,217.21933,350757,235,205.100006
10-02-2011,220,235,205.100006,213.5,211.667389,235560,248,206.600006
11-02-2011,214.949997,248,206.600006,234.100006,232.090576,371022,260.799988,236
14-02-2011,238,260.799988,236,246.949997,244.830261,195609,249.449997,200
15-02-2011,245,249.449997,200,236.649994,234.618668,185778,284,231
16-02-2011,235.949997,284,231,279.850006,277.447876,719200,289.700012,264.950012
17-02-2011,288.100006,289.700012,264.950012,271.700012,269.367828,1465841,276,254.600006
18-02-2011,271.399994,276,254.600006,256.950012,254.744446,302445,274,248.050003
21-02-2011,254.050003,274,248.050003,269.899994,267.583252,399394,271.899994,258.049988
22-02-2011,268,271.899994,258.049988,261.149994,258.908356,149976,268.899994,253.25
23-02-2011,261.149994,268.899994,253.25,255,252.811172,124793,258.700012,246
24-02-2011,255,258.700012,246,248.949997,246.813095,130189,256.950012,239.25
25-02-2011,252,256.950012,239.25,250.050003,247.903656,151023,271.799988,248.75
28-02-2011,250,271.799988,248.75,265.049988,262.774902,191642,273,261
01-03-2011,265.5,273,261,265.049988,262.774902,103769,275.450012,261
03-03-2011,263,275.450012,261,267.799988,265.501282,115565,276.950012,260.100006
04-03-2011,271,276.950012,260.100006,262.5,260.246796,106857,264.399994,254
07-03-2011,261.25,264.399994,254,257.25,255.041855,89739,276,255.199997
08-03-2011,259.600006,276,255.199997,266.899994,264.609009,560660,275,266
09-03-2011,267.299988,275,266,269.149994,266.839691,528253,274.899994,255
10-03-2011,268.299988,274.899994,255,258.350006,256.132416,565250,261.350006,250.199997
11-03-2011,258.350006,261.350006,250.199997,252.100006,249.936066,91830,266.850006,250
14-03-2011,250,266.850006,250,262.850006,260.593781,457341,264.700012,252
15-03-2011,255,264.700012,252,254.350006,252.166748,165132,262.549988,256.25
16-03-2011,256.850006,262.549988,256.25,257.399994,255.190552,92171,261.899994,253
17-03-2011,255,261.899994,253,254.699997,252.513733,72474,258.700012,249.449997
18-03-2011,257,258.700012,249.449997,250.199997,248.052368,63610,255.899994,250
21-03-2011,252.649994,255.899994,250,250.550003,248.399368,47960,262.549988,248.050003
22-03-2011,251,262.549988,248.050003,260.299988,258.065674,108030,265.899994,255.100006
23-03-2011,261,265.899994,255.100006,259.299988,257.074249,183815,279.299988,261
24-03-2011,261.299988,279.299988,261,266.100006,263.815887,401811,284.450012,268
25-03-2011,268,284.450012,268,278.75,276.3573,396251,288.450012,275
28-03-2011,275,288.450012,275,280.25,277.844421,291334,286.5,273.049988
29-03-2011,284.700012,286.5,273.049988,275.149994,272.788208,121220,284.799988,275.5
30-03-2011,279,284.799988,275.5,281.399994,278.984558,74056,284.5,279.5
31-03-2011,282,284.5,279.5,281.299988,278.885406,64211,294.450012,279.799988
01-04-2011,281.799988,294.450012,279.799988,289.200012,286.717621,140643,309.649994,286.049988
04-04-2011,291,309.649994,286.049988,300.450012,297.871063,256342,319.950012,301.200012
05-04-2011,302.450012,319.950012,301.200012,312.149994,309.470612,282426,322,310
06-04-2011,315.5,322,310,313.700012,311.007324,146197,315.899994,298.25
07-04-2011,314,315.899994,298.25,299.950012,297.375336,97326,306.950012,288.450012
08-04-2011,301.399994,306.950012,288.450012,293.350006,290.832001,85860,292.950012,284.5
11-04-2011,289.950012,292.950012,284.5,285.75,283.297211,57769,286.600006,277
13-04-2011,277,286.600006,277,281.700012,279.281982,88336,284.950012,272.200012
15-04-2011,282.450012,284.950012,272.200012,275.25,272.88736,58951,278.5,263.5
18-04-2011,273.25,278.5,263.5,265,262.725342,150038,267.700012,258
19-04-2011,263.75,267.700012,258,260.899994,258.660522,55651,272.799988,261.799988
20-04-2011,269.700012,272.799988,261.799988,266.75,264.460297,136077,275,266.950012
21-04-2011,267,275,266.950012,273.350006,271.003662,69073,276.799988,265.549988
25-04-2011,276.799988,276.799988,265.549988,266.950012,264.6586,31847,271.950012,262.5
26-04-2011,268,271.950012,262.5,266.200012,263.915039,53408,272,265.5
27-04-2011,268.299988,272,265.5,266.950012,264.6586,35576,269.5,263
28-04-2011,267.850006,269.5,263,264.25,261.981781,17670,265.299988,253.199997
29-04-2011,264.25,265.299988,253.199997,255.5,253.30687,32169,259.049988,243.300003
02-05-2011,257.299988,259.049988,243.300003,245.100006,242.996155,45243,246.899994,227.550003
03-05-2011,244.850006,246.899994,227.550003,229.699997,227.728333,96508,238.949997,226.5
04-05-2011,234.699997,238.949997,226.5,236.350006,234.321259,71640,239.699997,231
05-05-2011,238.899994,239.699997,231,231.850006,229.859879,35856,238,232
06-05-2011,234,238,232,236.050003,234.023834,36304,244.699997,231.100006
