Date,Open,High,Low,Close,Adj Close,Volume,Next High,Next Low
01-07-2002,6.125,6.15,5.9,5.97,0.053075,711934,6.12,5.815
02-07-2002,5.89,6.12,5.815,5.85,0.052008,520842,5.925,5.82
03-07-2002,5.85,5.925,5.82,5.86,0.052097,277700,5.97,5.675
04-07-2002,5.75,5.97,5.675,5.895,0.225818,597586,6.105,5.83
05-07-2002,5.945,6.105,5.83,5.86,0.224477,425350,6.025,5.75
08-07-2002,5.85,6.025,5.75,5.77,0.221029,227548,5.925,5.68
09-07-2002,5.85,5.925,5.68,5.715,0.218922,310782,5.79,5.565
10-07-2002,5.75,5.79,5.565,5.67,0.217199,293170,5.75,5.58
11-07-2002,5.74,5.75,5.58,5.615,0.215092,235822,5.725,5.475
12-07-2002,5.675,5.725,5.475,5.51,0.21107,310650,5.5,5.235
15-07-2002,5.5,5.5,5.235,5.26,0.201493,259934,5.495,5.105
16-07-2002,5.29,5.495,5.105,5.145,0.197088,320936,5.22,5.015
17-07-2002,5.2,5.22,5.015,5.08,0.194598,396672,5.35,5.15
18-07-2002,5.175,5.35,5.15,5.295,0.202834,343394,5.33,5.01
19-07-2002,5.01,5.33,5.01,5.115,0.195938,239092,5.075,4.94
22-07-2002,5.05,5.075,4.94,5,0.191533,219326,5.15,4.875
23-07-2002,4.875,5.15,4.875,5.04,0.193065,187574,5.195,5.015
24-07-2002,5.1,5.195,5.015,5.055,0.19364,187028,5.265,5.05
25-07-2002,5.195,5.265,5.05,5.115,0.195938,216812,5.095,4.75
26-07-2002,5.095,5.095,4.75,4.785,0.183297,311778,4.9,4.6
29-07-2002,4.775,4.9,4.6,4.705,0.180233,543580,4.835,4.41
30-07-2002,4.825,4.835,4.41,4.59,0.175827,272536,4.55,4.3
31-07-2002,4.55,4.55,4.3,4.475,0.171422,221288,4.825,4.55
01-08-2002,4.55,4.825,4.55,4.765,0.182531,294276,4.75,4.59
02-08-2002,4.6,4.75,4.59,4.71,0.180424,124822,4.945,4.78
05-08-2002,4.8,4.945,4.78,4.91,0.188086,137250,5.125,4.815
06-08-2002,4.9,5.125,4.815,4.91,0.188086,278290,5.22,4.925
07-08-2002,4.99,5.22,4.925,5.095,0.195172,445562,5.15,4.905
08-08-2002,5.125,5.15,4.905,4.93,0.188852,171092,5.045,4.725
09-08-2002,4.97,5.045,4.725,4.805,0.184063,251308,5.05,4.85
12-08-2002,4.945,5.05,4.85,4.945,0.189426,126188,5.1,5.005
13-08-2002,5.005,5.1,5.005,5.045,0.193257,63650,5.085,4.955
14-08-2002,5,5.085,4.955,5.025,0.192491,315328,5.125,5
16-08-2002,5.095,5.125,5,5.015,0.192108,79634,5.05,4.975
19-08-2002,5.045,5.05,4.975,5,0.191533,480316,5.05,5
20-08-2002,5.04,5.05,5,5.02,0.192299,73628,5.175,5
21-08-2002,5.025,5.175,5,5.015,0.192108,105018,5.07,4.9
22-08-2002,5,5.07,4.9,4.915,0.188277,110992,5,4.875
23-08-2002,5,5,4.875,4.925,0.18866,56170,5,4.9
26-08-2002,4.945,5,4.9,4.93,0.188852,56426,4.99,4.89
27-08-2002,4.97,4.99,4.89,4.905,0.187894,47508,4.945,4.885
28-08-2002,4.905,4.945,4.885,4.91,0.188086,63654,5.145,4.875
29-08-2002,4.875,5.145,4.875,5.02,0.192299,239768,5.25,4.99
30-08-2002,5.25,5.25,4.99,5.005,0.191725,177294,5.12,4.975
02-09-2002,5.05,5.12,4.975,5.01,0.191916,92896,5.025,4.925
03-09-2002,5.025,5.025,4.925,5.005,0.191725,50286,5.05,4.915
04-09-2002,5,5.05,4.915,5.02,0.192299,30196,5.1,5
05-09-2002,5.005,5.1,5,5.005,0.191725,64082,5.05,4.975
06-09-2002,5.045,5.05,4.975,5,0.191533,60944,5.025,4.85
09-09-2002,4.9,5.025,4.85,4.99,0.19115,26514,5.015,4.985
11-09-2002,5,5.015,4.985,5,0.191533,26998,5.035,4.89
12-09-2002,5,5.035,4.89,4.895,0.187511,109824,4.975,4.85
13-09-2002,4.95,4.975,4.85,4.865,0.186362,68100,4.945,4.755
16-09-2002,4.86,4.945,4.755,4.765,0.182531,68804,4.85,4.655
17-09-2002,4.85,4.85,4.655,4.69,0.179658,100390,4.845,4.605
18-09-2002,4.845,4.845,4.605,4.62,0.176977,98420,4.645,4.49
19-09-2002,4.645,4.645,4.49,4.52,0.173146,167256,4.625,4.415
20-09-2002,4.575,4.625,4.415,4.605,0.176402,72372,4.7,4.5
23-09-2002,4.65,4.7,4.5,4.52,0.173146,22116,4.535,4.275
24-09-2002,4.535,4.535,4.275,4.34,0.166251,39320,4.345,4.25
25-09-2002,4.25,4.345,4.25,4.34,0.166251,24180,4.445,4.36
26-09-2002,4.445,4.445,4.36,4.385,0.167975,13854,4.47,4.35
27-09-2002,4.4,4.47,4.35,4.45,0.170465,16164,4.485,4.275
30-09-2002,4.425,4.485,4.275,4.345,0.166442,79358,4.39,4.315
01-10-2002,4.39,4.39,4.315,4.355,0.166825,24088,4.375,4.32
03-10-2002,4.355,4.375,4.32,4.325,0.165676,31776,4.45,4.25
04-10-2002,4.25,4.45,4.25,4.43,0.169698,33096,4.55,4.4
07-10-2002,4.4,4.55,4.4,4.535,0.173721,64614,4.55,4.5
08-10-2002,4.5,4.55,4.5,4.505,0.172571,24962,4.55,4.49
09-10-2002,4.5,4.55,4.49,4.495,0.172188,74002,4.5,4.385
10-10-2002,4.5,4.5,4.385,4.45,0.170465,61428,4.55,4.325
11-10-2002,4.5,4.55,4.325,4.375,0.167592,94192,4.54,4.35
14-10-2002,4.375,4.54,4.35,4.435,0.16989,54222,4.6,4.4
16-10-2002,4.55,4.6,4.4,4.42,0.169315,95740,4.47,4.335
17-10-2002,4.41,4.47,4.335,4.385,0.167975,208864,4.445,4.325
