Date,Open,High,Low,Close,Adj Close,Volume,Next High,Next Low
01-07-2002,12.8,13.25,12.73,13.09,1.338729,1628945,12.54,12.08
02-07-2002,12.08,12.54,12.08,12.37,1.821792,702900,12.5,12.08
03-07-2002,12.38,12.5,12.08,12.13,1.786445,385765,12.29,12
04-07-2002,12.23,12.29,12,12.07,1.777609,308835,12.2,11.81
05-07-2002,12.19,12.2,11.81,11.86,1.746681,313690,12.26,11.8
08-07-2002,11.8,12.26,11.8,12.02,1.770245,735540,12.28,11.82
09-07-2002,11.82,12.28,11.82,12.18,1.793809,267095,12.5,12.15
10-07-2002,12.2,12.5,12.15,12.22,1.7997,1325750,12.24,12.07
11-07-2002,12.19,12.24,12.07,12.09,1.780555,224875,12.2,11.97
12-07-2002,12.2,12.2,11.97,12.05,1.774663,861960,12.1,11.58
15-07-2002,12,12.1,11.58,11.68,1.720172,828060,11.65,10.96
16-07-2002,11.6,11.65,10.96,11.07,1.630334,1043050,11.29,11
17-07-2002,11.05,11.29,11,11.21,1.650953,277260,11.8,11.3
18-07-2002,11.8,11.8,11.3,11.36,1.673043,186985,11.58,11.31
19-07-2002,11.58,11.58,11.31,11.37,1.674517,137715,11.1,10.36
22-07-2002,11.1,11.1,10.36,10.44,1.537551,684615,11.05,10.4
23-07-2002,10.41,11.05,10.4,10.99,1.618552,402560,11,10.76
24-07-2002,10.99,11,10.76,10.84,1.59646,386045,11.2,10.8
25-07-2002,11.16,11.2,10.8,10.82,1.593515,117270,10.69,10.5
26-07-2002,10.65,10.69,10.5,10.59,1.559642,212455,10.5,10.1
29-07-2002,10.1,10.5,10.1,10.41,1.533132,352725,10.69,10.2
30-07-2002,10.53,10.69,10.2,10.25,1.509569,504930,10.39,9.82
31-07-2002,10,10.39,9.82,10.24,1.508095,278470,10.52,10.25
01-08-2002,10.44,10.52,10.25,10.4,1.53166,196820,10.4,10.2
02-08-2002,10.4,10.4,10.2,10.28,1.513987,145470,11.8,10.1
05-08-2002,10.1,11.8,10.1,10.69,1.574369,427945,10.62,10.2
06-08-2002,10.54,10.62,10.2,10.26,1.511041,674880,10.47,10.23
07-08-2002,10.3,10.47,10.23,10.26,1.511041,155085,10.32,10
08-08-2002,10.32,10.32,10,10.04,1.478641,366015,10.29,9.96
09-08-2002,9.96,10.29,9.96,10.24,1.508095,86265,10.48,10.3
12-08-2002,10.3,10.48,10.3,10.43,1.536078,100390,10.6,10.25
13-08-2002,10.6,10.6,10.25,10.32,1.519878,49290,10.4,8.77
14-08-2002,8.77,10.4,8.77,10.23,1.506623,364250,10.38,10.18
16-08-2002,10.37,10.38,10.18,10.35,1.524296,98485,10.4,8.58
19-08-2002,8.58,10.4,8.58,10.31,1.518405,396145,10.37,10.28
20-08-2002,10.37,10.37,10.28,10.3,1.516932,47500,10.35,10.25
21-08-2002,10.25,10.35,10.25,10.28,1.513987,90605,10.35,10.1
22-08-2002,10.2,10.35,10.1,10.16,1.496314,144075,10.4,10.25
23-08-2002,10.28,10.4,10.25,10.3,1.516932,140710,10.39,10.27
26-08-2002,10.27,10.39,10.27,10.33,1.521351,108420,10.44,10.2
27-08-2002,10.34,10.44,10.2,10.3,1.516932,361795,10.36,10.3
28-08-2002,10.36,10.36,10.3,10.31,1.518405,41885,10.36,10.22
29-08-2002,10.22,10.36,10.22,10.3,1.516932,60860,10.44,10.24
30-08-2002,10.35,10.44,10.24,10.4,1.53166,189100,10.59,10.22
02-09-2002,10.51,10.59,10.22,10.28,1.513987,163990,10.4,10
03-09-2002,10.4,10.4,10,10.01,1.474223,531540,10.69,9.9
04-09-2002,10.69,10.69,9.9,9.98,1.469804,223670,10.41,9.93
05-09-2002,10.41,10.41,9.93,9.96,1.466859,81530,10.1,9.8
