Date,Open,High,Low,Close,Adj Close,Volume,Next High,Next Low
01-07-2002,15.632,16.297701,15.3795,15.9763,15.002179,831760,16.343599,15.3795
02-07-2002,15.3795,16.343599,15.3795,16.297701,15.303984,664008,16.527201,16.0452
03-07-2002,16.527201,16.527201,16.0452,16.136999,15.153082,564071,16.642,16.182899
04-07-2002,16.412399,16.642,16.182899,16.527201,15.519492,1127138,16.2747,15.609
05-07-2002,16.091101,16.2747,15.609,15.7008,14.743478,886627,15.9304,15.4943
08-07-2002,15.7238,15.9304,15.4943,15.609,14.657275,561512,15.7697,15.3565
09-07-2002,15.7468,15.7697,15.3565,15.4024,14.463272,645430,15.8156,15.3106
10-07-2002,15.7008,15.8156,15.3106,15.3565,14.420172,824759,15.609,14.9204
11-07-2002,15.609,15.609,14.9204,14.9663,14.053761,1085299,15.2418,14.6679
12-07-2002,15.2418,15.2418,14.6679,14.7368,13.838256,1190588,14.8515,14.5302
15-07-2002,14.6909,14.8515,14.5302,14.599,13.708858,601900,14.6909,14.2088
16-07-2002,14.2088,14.6909,14.2088,14.5761,13.687355,481133,14.6679,14.2547
17-07-2002,14.5072,14.6679,14.2547,14.3465,13.471753,481362,14.8056,14.4613
18-07-2002,14.7368,14.8056,14.4613,14.5072,13.622654,242271,14.6679,14.4613
19-07-2002,14.6449,14.6679,14.4613,14.5072,13.622654,268673,14.6449,14.2318
22-07-2002,14.599,14.6449,14.2318,14.4383,13.557957,422785,14.4613,14.0252
23-07-2002,14.4613,14.4613,14.0252,14.2777,13.407148,476781,14.3236,14.0022
24-07-2002,14.3236,14.3236,14.0022,14.1399,13.27775,245519,14.6909,14.3006
25-07-2002,14.4613,14.6909,14.3006,14.3236,13.450249,386193,14.2318,13.8415
26-07-2002,14.0481,14.2318,13.8415,14.0022,13.148445,429509,14.4613,13.8875
29-07-2002,14.4613,14.4613,13.8875,14.0022,13.148445,482231,14.4613,13.9334
30-07-2002,14.4613,14.4613,13.9334,13.9793,13.126941,458985,14.5072,13.4513
31-07-2002,14.0022,14.5072,13.4513,14.3925,13.514948,930917,14.2777,13.7268
01-08-2002,14.2318,14.2777,13.7268,13.8875,13.040738,605368,13.9104,13.6809
02-08-2002,13.8186,13.9104,13.6809,13.8415,12.997546,275206,14.0022,13.8186
05-08-2002,13.9104,14.0022,13.8186,13.8645,13.019141,130495,13.9334,13.7268
06-08-2002,13.9334,13.9334,13.7268,13.7727,12.93294,265439,14.0252,13.6809
07-08-2002,13.9793,14.0252,13.6809,13.7727,12.93294,289382,13.9334,13.7038
08-08-2002,13.9334,13.9334,13.7038,13.7727,12.93294,179076,13.8645,13.7038
09-08-2002,13.7497,13.8645,13.7038,13.7727,12.93294,220985,13.9104,13.6809
12-08-2002,13.7727,13.9104,13.6809,13.8875,13.040738,162112,14.0022,13.7727
13-08-2002,13.8415,14.0022,13.7727,13.9334,13.083839,69346,14.0022,13.8415
14-08-2002,13.8415,14.0022,13.8415,13.9104,13.062243,80766,14.5761,13.8875
16-08-2002,14.0022,14.5761,13.8875,14.3925,13.514948,323878,14.9204,14.1399
19-08-2002,14.3236,14.9204,14.1399,14.8056,13.902862,373866,15.4254,14.7368
20-08-2002,15.0581,15.4254,14.7368,15.1959,14.269363,650490,15.4943,14.6909
21-08-2002,15.4943,15.4943,14.6909,15.2647,14.333968,272707,15.3795,14.7597
22-08-2002,15.3795,15.3795,14.7597,14.8286,13.924459,186360,15.1499,14.7368
23-08-2002,14.9204,15.1499,14.7368,14.9433,14.032167,168752,15.1499,14.7827
26-08-2002,15.0581,15.1499,14.7827,14.8515,13.945962,95106,14.9433,14.7138
27-08-2002,14.8515,14.9433,14.7138,14.7368,13.838256,127986,14.8286,14.4383
28-08-2002,14.8286,14.8286,14.4383,14.6679,13.773556,175578,14.7368,14.2547
29-08-2002,14.6909,14.7368,14.2547,14.2777,13.407148,130441,15.104,14.1629
30-08-2002,14.2318,15.104,14.1629,14.9204,14.01066,466437,15.5402,14.9893
02-09-2002,15.1499,15.5402,14.9893,15.127,14.204664,451535,15.0352,14.7368
03-09-2002,15.0352,15.0352,14.7368,14.8974,13.989064,206690,15.4254,14.6909
04-09-2002,14.6909,15.4254,14.6909,15.104,14.183064,387018,15.3795,15.104
05-09-2002,15.2877,15.3795,15.104,15.1499,14.226168,245349,15.3795,14.8286
06-09-2002,15.3795,15.3795,14.8286,14.9204,14.01066,228775,15.104,14.5761
09-09-2002,14.7368,15.104,14.5761,14.622,13.730455,438963,14.9663,14.5531
11-09-2002,14.9663,14.9663,14.5531,14.6449,13.751959,84132,15.7468,14.599
12-09-2002,14.6909,15.7468,14.599,14.9204,14.01066,552710,15.8386,14.9204
13-09-2002,15.127,15.8386,14.9204,15.632,14.678873,2765639,16.2288,14.8974
16-09-2002,15.7008,16.2288,14.8974,15.7238,14.765074,1075286,16.091101,15.609
17-09-2002,15.9534,16.091101,15.609,15.9993,15.023778,2606143,16.182899,15.6779
18-09-2002,16.0222,16.182899,15.6779,15.7468,14.786674,424551,16.0681,14.0711
19-09-2002,15.4254,16.0681,14.0711,14.4154,13.536451,7020799,15.6779,14.2318
20-09-2002,14.4613,15.6779,14.2318,15.4713,14.52797,1248117,15.5631,14.9204
23-09-2002,15.5402,15.5631,14.9204,14.9893,14.07536,169852,14.9204,14.2318
24-09-2002,14.9204,14.9204,14.2318,14.3006,13.428652,1028804,14.9663,14.1859
25-09-2002,14.2318,14.9663,14.1859,14.5302,13.644252,738351,14.7368,14.3236
26-09-2002,14.4613,14.7368,14.3236,14.3925,13.514948,329895,14.8515,14.3465
27-09-2002,14.6449,14.8515,14.3465,14.6909,13.795155,292976,14.6909,14.3236
30-09-2002,14.6909,14.6909,14.3236,14.3695,13.493351,201495,14.7597,14.3925
01-10-2002,14.4613,14.7597,14.3925,14.7138,13.816659,396596,14.7827,14.3465
03-10-2002,14.7827,14.7827,14.3465,14.6909,13.795155,269157,14.7827,14.5761
04-10-2002,14.7827,14.7827,14.5761,14.7138,13.816659,235505,14.7368,14.4613
07-10-2002,14.6679,14.7368,14.4613,14.622,13.730455,294753,16.9634,14.3695
08-10-2002,14.7138,16.9634,14.3695,14.6909,13.795155,614325,14.8745,14.4843
09-10-2002,14.7827,14.8745,14.4843,14.5072,13.622654,178469,14.5531,14.3695
10-10-2002,14.4613,14.5531,14.3695,14.4154,13.536451,94548,14.622,14.3006
11-10-2002,14.622,14.622,14.3006,14.3695,13.493351,118829,14.6449,14.2318
14-10-2002,14.6449,14.6449,14.2318,14.2777,13.407148,82540,14.4613,13.8645
16-10-2002,14.4383,14.4613,13.8645,13.9563,13.105345,483917,14.0022,13.7038
17-10-2002,13.9334,14.0022,13.7038,13.7497,12.911343,291253,13.8645,13.6579
18-10-2002,13.7727,13.8645,13.6579,13.6809,12.846737,325072,13.7727,13.5431
21-10-2002,13.6349,13.7727,13.5431,13.612,12.782039,144270,13.6349,13.1988
22-10-2002,13.5431,13.6349,13.1988,13.3136,12.501832,186450,13.3595,12.625
23-10-2002,13.2677,13.3595,12.625,12.7627,11.984524,303869,12.8545,12.625
24-10-2002,12.8545,12.8545,12.625,12.6479,11.876721,225041,12.625,11.9822
25-10-2002,12.5102,12.625,11.9822,12.1659,11.42411,413251,12.1659,11.064
28-10-2002,12.1659,12.1659,11.064,11.4313,10.734301,758382,11.6838,11.1329
29-10-2002,11.592,11.6838,11.1329,11.5231,10.820504,792700,12.3954,10.9722
30-10-2002,10.9722,12.3954,10.9722,11.9593,11.230108,835260,12.1659,11.6379
31-10-2002,12.1659,12.1659,11.6379,11.9134,11.187005,296341,12.0511,11.615
01-11-2002,11.7068,12.0511,11.615,11.8904,11.165409,125919,12.2577,11.8445
04-11-2002,11.9363,12.2577,11.8445,12.0052,11.273209,61526,11.8675,11.615
05-11-2002,11.8445,11.8675,11.615,11.6838,10.971406,149267,11.7986,11.5002
07-11-2002,11.6609,11.7986,11.5002,11.5461,10.842101,146468,11.5231,11.3625
08-11-2002,11.5231,11.5231,11.3625,11.4313,10.734301,155728,11.4772,11.1559
11-11-2002,11.4772,11.4772,11.1559,11.2706,10.583401,666415,11.3395,11.2018
12-11-2002,11.2936,11.3395,11.2018,11.2247,10.540298,79745,11.4772,11.2018
13-11-2002,11.4772,11.4772,11.2018,11.2706,10.583401,163284,11.592,10.9263
14-11-2002,11.592,11.592,10.9263,10.9493,10.281689,392551,11.1329,10.5131
15-11-2002,11.0181,11.1329,10.5131,10.559,9.915187,1098340,11.2477,10.3066
18-11-2002,11.2477,11.2477,10.3066,10.4902,9.850583,802184,10.8345,10.4443
20-11-2002,10.7656,10.8345,10.4443,10.4902,9.850583,661878,10.605,10.1688
21-11-2002,10.4672,10.605,10.1688,10.2147,9.59188,684460,10.5361,10.0081
22-11-2002,10.0081,10.5361,10.0081,10.3066,9.678176,476844,10.7886,10.3295
25-11-2002,10.3525,10.7886,10.3295,10.6279,9.979887,859480,11.1788,10.7656
26-11-2002,10.7886,11.1788,10.7656,11.0411,10.367891,972077,11.1329,10.8804
27-11-2002,11.11,11.1329,10.8804,10.9952,10.324791,481610,11.2018,11.0411
28-11-2002,11.1329,11.2018,11.0411,11.087,10.410994,302906,11.592,10.6738
29-11-2002,11.1329,11.592,10.6738,11.4543,10.755898,1302801,11.8904,11.4772
02-12-2002,11.592,11.8904,11.4772,11.6379,10.928303,575370,11.8675,11.3854
03-12-2002,11.8675,11.8675,11.3854,11.5002,10.798999,519117,11.4084,11.11
04-12-2002,11.4084,11.4084,11.11,11.1788,10.497195,191030,11.3854,11.0411
05-12-2002,11.3854,11.3854,11.0411,11.087,10.410994,319435,11.4084,11.0181
06-12-2002,11.3854,11.4084,11.0181,11.0411,10.367891,414179,11.2018,10.7886
09-12-2002,11.087,11.2018,10.7886,10.8575,10.195487,300833,11.2247,10.8116
10-12-2002,11.2247,11.2247,10.8116,10.9722,10.303194,227352,11.2247,10.8116
11-12-2002,11.0181,11.2247,10.8116,10.9034,10.238588,203141,11.0181,10.3754
12-12-2002,11.0181,11.0181,10.3754,10.4902,9.850583,643646,10.6509,10.1229
13-12-2002,10.559,10.6509,10.1229,10.2147,9.59188,625382,10.6738,10.4443
16-12-2002,10.5131,10.6738,10.4443,10.559,9.915187,485818,10.8804,10.5131
17-12-2002,10.5131,10.8804,10.5131,10.7197,10.066089,635173,11.592,10.9722
18-12-2002,11.3395,11.592,10.9722,11.5231,10.820504,1772285,12.0281,11.4772
19-12-2002,11.5231,12.0281,11.4772,11.7756,11.057609,1624924,11.8904,11.2477
20-12-2002,11.8904,11.8904,11.2477,11.3625,10.669696,753758,11.3854,10.6738
23-12-2002,11.3854,11.3854,10.6738,10.8804,10.21699,436074,11.592,10.605
24-12-2002,11.592,11.592,10.605,11.0181,10.346296,660965,11.1559,10.6738
26-12-2002,11.1329,11.1559,10.6738,10.7656,10.109191,689984,11.0181,10.1229
27-12-2002,10.9722,11.0181,10.1229,10.3295,9.699682,1620851,10.6968,10.3295
30-12-2002,10.4443,10.6968,10.3295,10.3984,9.76438,936916,10.559,10.3295
31-12-2002,10.4902,10.559,10.3295,10.4672,9.828986,744457,10.7197,10.3525
01-01-2003,10.7197,10.7197,10.3525,10.3984,9.76438,183174,10.6738,10.3295
02-01-2003,10.559,10.6738,10.3295,10.3984,9.76438,598304,11.0181,10.3295
03-01-2003,10.6509,11.0181,10.3295,10.3525,9.721278,582614,10.559,10.1459
06-01-2003,10.4443,10.559,10.1459,10.1918,9.570377,292523,10.2836,10.1229
07-01-2003,10.1688,10.2836,10.1229,10.1459,9.527275,366968,10.4902,9.89337
08-01-2003,10.4902,10.4902,9.89337,9.93928,9.333253,422012,10.1,9.68678
09-01-2003,9.68678,10.1,9.68678,9.87042,9.268593,385520,9.91633,9.48019
10-01-2003,9.89337,9.91633,9.48019,9.5261,8.945267,491765,9.98519,9.64087
13-01-2003,9.70974,9.98519,9.64087,9.80155,9.203921,809176,10.0541,9.68678
14-01-2003,9.96224,10.0541,9.68678,9.75565,9.160821,1478800,10.077,9.75565
15-01-2003,9.75565,10.077,9.75565,9.96224,9.354815,657127,9.93928,9.54906
16-01-2003,9.84746,9.93928,9.54906,9.7786,9.182371,538841,10.077,9.64087
17-01-2003,10.077,10.077,9.64087,9.82451,9.225482,297779,11.4772,9.82451
20-01-2003,9.98519,11.4772,9.82451,11.4313,10.734301,6783684,12.5102,10.7427
21-01-2003,11.6838,12.5102,10.7427,11.1559,10.475693,6826817,11.7986,10.9952
22-01-2003,10.9952,11.7986,10.9952,11.5231,10.820504,1607524,11.7068,11.064
23-01-2003,11.7068,11.7068,11.064,11.1329,10.454095,660763,11.1559,10.7427
24-01-2003,10.7427,11.1559,10.7427,10.9722,10.303194,836400,12.12,11.1788
27-01-2003,11.1788,12.12,11.1788,11.615,10.906801,3116183,12.4872,11.7068
28-01-2003,11.9134,12.4872,11.7068,12.3724,11.61802,2435433,13.6809,12.625
29-01-2003,12.625,13.6809,12.625,13.3365,12.523338,4939419,13.7727,12.8545
