Date,Open,High,Low,Close,Adj Close,Volume,Next High,Next Low
02-01-1996,10.6,10.6,10.6,10.6,1.350957,1500,10.6667,10.4667
03-01-1996,10.6667,10.6667,10.4667,10.4667,1.333968,3000,10.6667,10.4667
05-01-1996,10.6667,10.6667,10.4667,10.4733,1.334809,6000,10.5333,10.3333
08-01-1996,10.3333,10.5333,10.3333,10.5333,1.342456,3000,10.0667,10.0667
10-01-1996,10.0667,10.0667,10.0667,10.0667,1.282989,1500,10.0667,9.66667
16-01-1996,10.0667,10.0667,9.66667,9.66667,1.232005,3000,9.66667,9.46667
18-01-1996,9.66667,9.66667,9.46667,9.46667,1.206516,3000,9.86667,9.86667
19-01-1996,9.86667,9.86667,9.86667,9.86667,1.257495,1500,9.88333,9.6
23-01-1996,9.83333,9.88333,9.6,9.86667,1.257495,15000,9.86667,9.86667
24-01-1996,9.86667,9.86667,9.86667,9.86667,1.257495,6000,10,10
25-01-1996,10,10,10,10,1.274487,1500,9.66667,9.66667
29-01-1996,9.66667,9.66667,9.66667,9.66667,1.232005,1500,9.9,9.66667
30-01-1996,9.86667,9.9,9.66667,9.66667,1.232005,12000,9.83333,9.83333
31-01-1996,9.83333,9.83333,9.83333,9.83333,1.253246,1500,10.4667,10.1333
01-02-1996,10.1333,10.4667,10.1333,10.4667,1.333968,6000,11.4667,11.4667
02-02-1996,11.4667,11.4667,11.4667,11.4667,1.461417,1500,11.8,11.4667
05-02-1996,11.4667,11.8,11.4667,11.7167,1.493279,10500,12.3333,11.67
06-02-1996,11.7167,12.3333,11.67,11.8,1.503895,19500,11.5333,11.5333
07-02-1996,11.5333,11.5333,11.5333,11.5333,1.469905,1500,11.6667,11.5333
08-02-1996,11.5333,11.6667,11.5333,11.5933,1.477552,24000,12.7333,12
09-02-1996,12,12.7333,12,12.6667,1.614356,19500,13.3333,13
12-02-1996,13.3333,13.3333,13,13,1.656834,6000,13,12.6667
13-02-1996,13,13,12.6667,12.6667,1.614356,10500,13.6667,13.1
14-02-1996,13.6667,13.6667,13.1,13.1,1.669579,21000,13.0667,13.0667
15-02-1996,13.0667,13.0667,13.0667,13.0667,1.665335,1500,13,12.6667
16-02-1996,13,13,12.6667,12.7,1.6186,12000,12.6667,12.6667
19-02-1996,12.6667,12.6667,12.6667,12.6667,1.614356,19500,12.8,12.8
20-02-1996,12.6667,12.8,12.8,12.8,1.631344,7500,13.6667,12.6667
22-02-1996,13.6667,13.6667,12.6667,12.8667,1.639845,9000,13.1333,12.8
23-02-1996,12.8667,13.1333,12.8,12.9267,1.647492,10500,13.1833,12.8667
26-02-1996,12.8667,13.1833,12.8667,12.9033,1.64451,37500,13.3333,13
27-02-1996,13.1333,13.3333,13,13.3333,1.699313,36000,13.6667,13.4
28-02-1996,13.6667,13.6667,13.4,13.5333,1.724802,12000,13.07,13.0667
29-02-1996,13.07,13.07,13.0667,13.0667,1.665335,9000,13.4667,13.2
01-03-1996,13.2,13.4667,13.2,13.3333,1.699313,19500,13,12.7
04-03-1996,13.3333,13,12.7,12.94,1.649187,12000,13.6667,13.1333
06-03-1996,12.94,13.6667,13.1333,13.6667,1.741804,37500,13.8667,13.6667
07-03-1996,13.6667,13.8667,13.6667,13.8667,1.767294,15000,13.9167,13.6333
08-03-1996,13.8667,13.9167,13.6333,13.6367,1.737981,12000,13.6667,13.5433
11-03-1996,13.6367,13.6667,13.5433,13.6333,1.737547,12000,13.6033,13.3333
12-03-1996,13.6333,13.6033,13.3333,13.5967,1.732883,16500,13.6,13.6
13-03-1996,13.5967,13.6,13.6,13.6,1.733303,1500,13.6667,13.4667
14-03-1996,13.6,13.6667,13.4667,13.4667,1.716314,15000,13.5333,13.47
15-03-1996,13.5333,13.5333,13.47,13.47,1.716735,4500,13.3333,13.1567
18-03-1996,13.3333,13.3333,13.1567,13.1567,1.676805,18000,13.2667,13
19-03-1996,13.1567,13.2667,13,13.2667,1.690825,16500,13.4,13.2667
21-03-1996,13.2667,13.4,13.2667,13.4,1.707813,3000,13.4,13
22-03-1996,13.4,13.4,13,13.4,1.707813,16500,13.5333,13.3367
25-03-1996,13.4,13.5333,13.3367,13.3367,1.699746,9000,13.2033,13.2033
26-03-1996,13.3367,13.2033,13.2033,13.2033,1.682745,9000,13.3333,13.1967
27-03-1996,13.2033,13.3333,13.1967,13.3333,1.699313,9000,13.3967,13.3967
28-03-1996,13.3333,13.3967,13.3967,13.3967,1.707393,3000,13.5167,13.4033
29-03-1996,13.3967,13.5167,13.4033,13.4667,1.716314,18000,13.6,13.6
01-04-1996,13.6,13.6,13.6,13.6,1.733303,1500,13.6,13.5367
02-04-1996,13.6,13.6,13.5367,13.5367,1.725236,6000,14,13.8667
03-04-1996,14,14,13.8667,13.8667,1.767294,4500,14,13.7333
04-04-1996,13.8667,14,13.7333,13.7333,1.750292,15000,14.5333,13.6
08-04-1996,14,14.5333,13.6,14,1.784283,24000,14.3667,14.0033
09-04-1996,14,14.3667,14.0033,14.0033,1.784703,30000,14.2667,14.2667
10-04-1996,14.2667,14.2667,14.2667,14.2667,1.818273,1500,14,14
12-04-1996,14,14,14,14,1.784283,3000,14.0667,13.9333
15-04-1996,14,14.0667,13.9333,13.9333,1.775782,10500,14,13.87
16-04-1996,13.9333,14,13.87,13.9333,1.775782,19500,14.5333,14
17-04-1996,13.9333,14.5333,14,14.5333,1.852251,46500,15,14.6
18-04-1996,14.5333,15,14.6,14.7333,1.877741,49500,14.9333,14.5333
19-04-1996,14.7333,14.9333,14.5333,14.9333,1.903231,19500,15,14.5333
22-04-1996,14.9333,15,14.5333,15,1.911731,34500,16.4333,14.6033
23-04-1996,15,16.4333,14.6033,15.0667,1.920233,40500,16.3333,15.6667
24-04-1996,16.3333,16.3333,15.6667,15.6667,1.996702,4500,15.5,15.2
25-04-1996,15.6667,15.5,15.2,15.2,1.937221,19500,15.3333,15.1333
29-04-1996,15.2,15.3333,15.1333,15.3333,1.95421,15000,15.4667,15.3333
30-04-1996,15.3333,15.4667,15.3333,15.4,1.962711,16500,15.4,15.1333
01-05-1996,15.4,15.4,15.1333,15.4,1.962711,6000,15.4,15.1333
02-05-1996,15.1333,15.4,15.1333,15.35,1.956339,39000,15.4,15.4
03-05-1996,15.35,15.4,15.4,15.4,1.962711,3000,15.5333,15.2
06-05-1996,15.4,15.5333,15.2,15.2,1.937221,30000,15.2667,15.2
07-05-1996,15.2,15.2667,15.2,15.2667,1.945722,9000,15.25,15
08-05-1996,15.2667,15.25,15,15.25,1.943593,3000,14.6667,14.5
10-05-1996,14.6667,14.6667,14.5,14.6,1.860752,4500,14.7833,14.66
13-05-1996,14.6,14.7833,14.66,14.7833,1.884114,9000,15,14.6033
14-05-1996,14.7833,15,14.6033,14.6067,1.861606,9000,14.8,14.6
15-05-1996,14.6067,14.8,14.6,14.8,1.886242,6000,16,16
16-05-1996,14.8,16,16,16,2.039181,1500,15.2667,14.6667
17-05-1996,14.6667,15.2667,14.6667,15.2667,1.945722,24000,14.9333,14.8033
20-05-1996,15.2667,14.9333,14.8033,14.9067,1.899841,16500,14.6633,14.47
21-05-1996,14.9067,14.6633,14.47,14.5067,1.848861,16500,14.4,14.4
22-05-1996,14.5067,14.4,14.4,14.4,1.835262,1500,14.15,14
23-05-1996,14.4,14.15,14,14,1.784283,10500,13.9,13.7333
24-05-1996,14,13.9,13.7333,13.8833,1.76941,9000,13.7333,13.6667
27-05-1996,13.8833,13.7333,13.6667,13.7333,1.750292,3000,13.7333,13.6667
28-05-1996,13.7333,13.7333,13.6667,13.6667,1.741804,3000,13.9333,13.9333
29-05-1996,13.6667,13.9333,13.9333,13.9333,1.775782,1500,13.6667,13.4233
30-05-1996,13.9333,13.6667,13.4233,13.5367,1.725236,12000,13.7333,13.3333
31-05-1996,13.3333,13.7333,13.3333,13.7333,1.750292,15000,13.6667,13.47
03-06-1996,13.7333,13.6667,13.47,13.47,1.716735,18000,14.1333,13.7333
04-06-1996,13.47,14.1333,13.7333,13.8667,1.767294,10500,13.8,13.6667
05-06-1996,13.6667,13.8,13.6667,13.8,1.758793,6000,13.47,13.3333
06-06-1996,13.4667,13.47,13.3333,13.3333,1.699313,10500,13.4,13.2
07-06-1996,13.3333,13.4,13.2,13.4,1.707813,16500,13.4667,13.4
10-06-1996,13.4,13.4667,13.4,13.4667,1.716314,4500,13.5333,13.4033
11-06-1996,13.4667,13.5333,13.4033,13.4033,1.708234,18000,14,13.5
12-06-1996,13.5,14,13.5,13.8667,1.767294,7500,14.7333,14.4
13-06-1996,14.4,14.7333,14.4,14.5333,1.852251,16500,15.53,14.9333
14-06-1996,15,15.53,14.9333,15.1767,1.934251,25500,15.8667,15
17-06-1996,15.3333,15.8667,15,15.0033,1.912152,7500,14.1333,14
18-06-1996,14.1,14.1333,14,14,1.784283,10500,14.0667,13.8
19-06-1996,13.8,14.0667,13.8,13.9333,1.775782,12000,14.0033,13.8
20-06-1996,14.0033,14.0033,13.8,13.8,1.758793,4500,13.6667,13.3333
21-06-1996,13.6667,13.6667,13.3333,13.4,1.707813,13500,13.3333,12.9333
24-06-1996,13.2667,13.3333,12.9333,12.9333,1.648333,15000,13.3,12.9333
25-06-1996,13,13.3,12.9333,13.2833,1.69294,37500,13.65,13.4
