Date,Open,High,Low,Close,Adj Close,Volume,Next High,Next Low
07-10-2002,6,7.5,6,6,2.363722,0,7.5,6
08-10-2002,6,7.5,6,6,2.363722,0,7.5,6
09-10-2002,6,7.5,6,6,2.363722,0,7.5,6
10-10-2002,6,7.5,6,6,2.363722,0,7.5,6
11-10-2002,6,7.5,6,6,2.363722,0,7.505,7.505
20-11-2002,7.505,7.505,7.505,7.505,2.956622,2000,6.97,6.87
21-11-2002,6.87,6.97,6.87,6.97,2.745857,414,6.87,6.87
25-11-2002,6.87,6.87,6.87,6.87,2.706462,200,6.87,6.87
26-11-2002,6.87,6.87,6.87,6.87,2.706462,900,6.895,6.845
27-11-2002,6.87,6.895,6.845,6.845,2.696613,3918,6.845,6.8
28-11-2002,6.845,6.845,6.8,6.845,2.696613,800,6.845,6.845
29-11-2002,6.845,6.845,6.845,6.845,2.696613,314,6.845,6.845
02-12-2002,6.845,6.845,6.845,6.845,2.696613,1080,6.75,6.75
03-12-2002,6.75,6.75,6.75,6.75,2.659187,426,7.335,6.75
04-12-2002,6.75,7.335,6.75,7.335,2.88965,6882,7.31,7.09
05-12-2002,7.31,7.31,7.09,7.09,2.793132,10700,8.265,7.065
06-12-2002,8.02,8.265,7.065,7.065,2.783283,1000,7.09,6.92
09-12-2002,6.92,7.09,6.92,6.92,2.726159,500,6.845,6.845
11-12-2002,6.845,6.845,6.845,6.845,2.696613,200,8.4,7
12-12-2002,8.4,8.4,7,7,2.757676,2200,7.09,6.845
13-12-2002,7.09,7.09,6.845,6.945,2.736009,1776,7.68,7.68
16-12-2002,7.68,7.68,7.68,7.68,3.025564,4400,7.825,6.92
17-12-2002,6.92,7.825,6.92,7.8,3.072839,5256,9.365,8.56
18-12-2002,8.56,9.365,8.56,9.315,3.669679,182254,9.66,9.29
19-12-2002,9.29,9.66,9.29,9.465,3.728772,20916,9.465,8.925
20-12-2002,9.39,9.465,8.925,8.975,3.535735,22418,8.805,8.805
23-12-2002,8.805,8.805,8.805,8.805,3.468763,2282,8.925,8.805
24-12-2002,8.83,8.925,8.805,8.805,3.468763,3000,8.805,8.805
26-12-2002,8.805,8.805,8.805,8.805,3.468763,400,9.17,8.805
27-12-2002,8.805,9.17,8.805,8.805,3.468763,4500,9.07,9.05
30-12-2002,9.05,9.07,9.05,9.07,3.573159,2000,9.05,8.805
31-12-2002,8.85,9.05,8.805,9.05,3.565282,526,9.05,8.805
01-01-2003,9.05,9.05,8.805,8.805,3.468763,8200,8.83,8.83
02-01-2003,8.83,8.83,8.83,8.83,3.478611,200,8.95,8.95
03-01-2003,8.95,8.95,8.95,8.95,3.525886,1600,9.78,9.05
06-01-2003,9.05,9.78,9.05,9.465,3.728772,20100,10.245,9.535
07-01-2003,9.535,10.245,9.535,9.805,3.862717,73626,11.785,10.37
08-01-2003,10.37,11.785,10.37,10.565,4.16212,71434,11.37,10.685
09-01-2003,10.76,11.37,10.685,10.88,4.286216,61574,11.125,10.635
10-01-2003,11.125,11.125,10.635,10.785,4.248791,5988,10.76,10.27
13-01-2003,10.76,10.76,10.27,10.49,4.132575,8876,10.685,10.025
14-01-2003,10.685,10.685,10.025,10.395,4.095149,4626,10.98,9.805
15-01-2003,10.98,10.98,9.805,10.295,4.055753,8004,10.635,10.27
16-01-2003,10.635,10.635,10.27,10.465,4.122725,14604,10.955,10.27
17-01-2003,10.27,10.955,10.27,10.76,4.238942,16056,10.76,10.465
20-01-2003,10.465,10.76,10.465,10.685,4.209395,6898,10.565,10.245
21-01-2003,10.295,10.565,10.245,10.54,4.152272,4670,10.955,10.515
22-01-2003,10.955,10.955,10.515,10.54,4.152272,3020,10.76,10.27
23-01-2003,10.415,10.76,10.27,10.27,4.045904,4600,9.93,9.93
24-01-2003,9.93,9.93,9.93,9.93,3.911962,826,9.78,9.29
27-01-2003,9.78,9.78,9.29,9.29,3.65983,480,9.17,8.56
28-01-2003,9.17,9.17,8.56,8.805,3.468763,1200,8.925,8.655
29-01-2003,8.805,8.925,8.655,8.655,3.40967,1166,9.025,8.805
30-01-2003,8.805,9.025,8.805,9.025,3.555432,3620,9.29,9.05
31-01-2003,9.29,9.29,9.05,9.29,3.65983,5304,9.535,9.415
03-02-2003,9.535,9.535,9.415,9.415,3.709075,2926,9.29,9.29
04-02-2003,9.29,9.29,9.29,9.29,3.65983,200,9.415,9.17
05-02-2003,9.17,9.415,9.17,9.415,3.709075,3000,9.535,9.39
06-02-2003,9.39,9.535,9.39,9.535,3.756348,1202,9.29,9.29
07-02-2003,9.29,9.29,9.29,9.29,3.65983,200,8.805,8.805
10-02-2003,8.805,8.805,8.805,8.805,3.468763,200,9.29,8.805
11-02-2003,8.85,9.29,8.805,8.875,3.496339,6184,9.29,8.805
14-02-2003,9.29,9.29,8.805,8.805,3.468763,10898,9.66,8.805
17-02-2003,9.05,9.66,8.805,8.805,3.468763,40132,8.83,8.805
18-02-2003,8.805,8.83,8.805,8.805,3.468763,1352,8.9,8.85
19-02-2003,8.85,8.9,8.85,8.9,3.506188,220,9,8.925
20-02-2003,8.925,9,8.925,9,3.545584,634,9.29,9.05
21-02-2003,9.12,9.29,9.05,9.05,3.565282,1654,9.29,8.805
24-02-2003,9.29,9.29,8.805,8.805,3.468763,1660,8.9,8.315
25-02-2003,8.365,8.9,8.315,8.9,3.506188,626,9.05,8.805
27-02-2003,8.83,9.05,8.805,9.05,3.565282,700,9.61,8.805
28-02-2003,9.585,9.61,8.805,8.9,3.506188,3600,8.83,8.805
03-03-2003,8.83,8.83,8.805,8.805,3.468763,1256,9.12,8.07
04-03-2003,8.07,9.12,8.07,9.12,3.592857,1374,8.805,8.805
05-03-2003,8.805,8.805,8.805,8.805,3.468763,1426,9.05,8.56
06-03-2003,8.56,9.05,8.56,8.805,3.468763,260,8.315,8.215
07-03-2003,8.215,8.315,8.215,8.215,3.236329,508,9.17,8.315
10-03-2003,8.315,9.17,8.315,9.17,3.612556,460,8.315,7.655
11-03-2003,7.655,8.315,7.655,8.315,3.275724,1344,8.95,8.34
12-03-2003,8.56,8.95,8.34,8.435,3.323,2846,9.12,8.73
13-03-2003,8.73,9.12,8.73,9.12,3.592857,2610,8.315,8.315
17-03-2003,8.315,8.315,8.315,8.315,3.275724,3000,8.975,8.315
19-03-2003,8.975,8.975,8.315,8.315,3.275724,260,8.56,8.34
20-03-2003,8.34,8.56,8.34,8.56,3.372244,278,8.755,8.315
21-03-2003,8.34,8.755,8.315,8.365,3.295423,5966,8.925,7.945
24-03-2003,8.365,8.925,7.945,7.945,3.129962,2600,8.02,8.02
26-03-2003,8.02,8.02,8.02,8.02,3.159509,200,8.315,7.655
31-03-2003,7.705,8.315,7.655,8.315,3.275724,1200,8.68,7.825
02-04-2003,7.825,8.68,7.825,8.68,3.419518,2600,8.68,8.315
03-04-2003,8.315,8.68,8.315,8.68,3.419518,490,8.755,8.755
04-04-2003,8.755,8.755,8.755,8.755,3.449065,1000,8.805,8.68
08-04-2003,8.805,8.805,8.68,8.805,3.468763,440,8.805,8.755
09-04-2003,8.805,8.805,8.755,8.755,3.449065,620,8.215,8.215
16-04-2003,8.215,8.215,8.215,8.215,3.236329,400,8.805,8.805
21-04-2003,8.805,8.805,8.805,8.805,3.468763,1000,8.12,8.12
23-04-2003,8.12,8.12,8.12,8.12,3.198904,200,8.68,8.315
24-04-2003,8.315,8.68,8.315,8.68,3.419518,860,8.02,8.02
25-04-2003,8.02,8.02,8.02,8.02,3.159509,326,8.315,7.925
28-04-2003,7.945,8.315,7.925,8.315,3.275724,300,8.68,8.68
30-04-2003,8.68,8.68,8.68,8.68,3.419518,400,8.07,7.945
02-05-2003,7.945,8.07,7.945,8.07,3.179206,440,8.165,8.07
05-05-2003,8.07,8.165,8.07,8.165,3.216631,200,8.56,8.365
06-05-2003,8.365,8.56,8.365,8.46,3.332848,2100,8.07,8.07
07-05-2003,8.07,8.07,8.07,8.07,3.179206,14,9.245,8.56
08-05-2003,9.245,9.245,8.56,8.56,3.372244,200,8.095,8.095
09-05-2003,8.095,8.095,8.095,8.095,3.189055,414,8.56,8.56
13-05-2003,8.56,8.56,8.56,8.56,3.372244,422,8.315,8.215
14-05-2003,8.215,8.315,8.215,8.315,3.275724,750,8.925,8.435
15-05-2003,8.435,8.925,8.435,8.925,3.516037,64,9.29,8.705
16-05-2003,9.29,9.29,8.705,9.12,3.592857,1802,9.39,8.805
19-05-2003,9.29,9.39,8.805,9.39,3.699225,1842,9.12,9.12
20-05-2003,9.12,9.12,9.12,9.12,3.592857,200,9.05,8.315
21-05-2003,8.83,9.05,8.315,8.315,3.275724,5000,9.095,9.095
22-05-2003,9.095,9.095,9.095,9.095,3.583008,200,8.925,8.705
