Date,Open,High,Low,Close,Adj Close,Volume,Next High,Next Low
01-01-1996,4.4903,4.47117,4.4278,4.4278,0.000002,66632,4.54133,4.36912
02-01-1996,4.4278,4.54133,4.36912,4.50178,0.000003,125426,4.45203,4.40101
03-01-1996,4.43928,4.45203,4.40101,4.41121,0.000002,94069,4.38187,4.33722
04-01-1996,4.41121,4.38187,4.33722,4.3436,0.000002,121506,4.33722,4.23517
05-01-1996,4.3436,4.33722,4.23517,4.24793,0.000002,121506,4.20966,4.12674
08-01-1996,4.24793,4.20966,4.12674,4.13057,0.000002,78391,4.15863,4.08209
09-01-1996,4.13057,4.15863,4.08209,4.13312,0.000002,125426,4.18415,4.08209
10-01-1996,4.13312,4.18415,4.08209,4.1025,0.000002,152863,4.10761,4.03745
11-01-1996,4.1025,4.10761,4.03745,4.05658,0.000002,411553,4.08209,4.04638
12-01-1996,4.05658,4.08209,4.04638,4.04893,0.000002,109748,4.09357,3.98004
15-01-1996,3.98004,4.09357,3.98004,4.08337,0.000002,403714,4.12674,4.08209
16-01-1996,4.08337,4.12674,4.08209,4.09995,0.000002,215576,4.27344,4.08209
17-01-1996,4.08209,4.27344,4.08209,4.18542,0.000002,1403201,4.20966,4.10888
18-01-1996,4.18542,4.20966,4.10888,4.13695,0.000002,431151,4.14588,4.13312
19-01-1996,4.13695,4.14588,4.13312,4.1344,0.000002,623210,4.14077,4.13312
22-01-1996,4.1344,4.14077,4.13312,4.13695,0.000002,470347,4.15225,4.13312
23-01-1996,4.13695,4.15225,4.13312,4.13695,0.000002,705520,4.15863,4.13312
24-01-1996,4.1344,4.15863,4.13312,4.13312,0.000002,799590,4.1344,4.13312
25-01-1996,4.13312,4.1344,4.13312,4.13312,0.000002,560497,4.14588,4.13312
29-01-1996,4.13312,4.14588,4.13312,4.14333,0.000002,1309132,4.15863,4.08209
30-01-1996,4.14333,4.15863,4.08209,4.08592,0.000002,470347,4.12036,4.08209
31-01-1996,4.08592,4.12036,4.08209,4.08337,0.000002,352760,4.15863,4.08209
01-02-1996,4.08337,4.15863,4.08209,4.08847,0.000002,329243,4.13312,4.08209
02-02-1996,4.08847,4.13312,4.08209,4.08465,0.000002,160702,4.36274,4.10761
05-02-1996,4.08465,4.36274,4.10761,4.12802,0.000002,548738,4.26069,4.10761
06-02-1996,4.12802,4.26069,4.10761,4.11271,0.000002,462508,4.18415,4.08209
07-02-1996,4.11271,4.18415,4.08209,4.13312,0.000002,235173,4.41376,4.13312
08-02-1996,4.13312,4.41376,4.13312,4.2811,0.000002,1038683,5.10262,4.36274
09-02-1996,4.2811,5.10262,4.36274,4.9253,0.000003,1802996,5.29397,4.77095
12-02-1996,4.9253,5.29397,4.77095,5.05287,0.000003,3088611,5.05159,4.88703
13-02-1996,5.05287,5.05159,4.88703,4.98653,0.000003,1850031,5.30034,4.97505
14-02-1996,4.98653,5.30034,4.97505,5.09751,0.000003,2339976,5.06435,4.87555
15-02-1996,5.09751,5.06435,4.87555,4.97378,0.000003,2477160,5.04011,4.7837
16-02-1996,4.97378,5.04011,4.7837,5.0248,0.000003,4605479,4.92403,4.80284
19-02-1996,5.0248,4.92403,4.80284,4.84621,0.000003,1081798,4.90872,4.62042
20-02-1996,4.87938,4.90872,4.62042,4.75054,0.000003,1795157,5.00057,4.74543
22-02-1996,4.75054,5.00057,4.74543,4.95847,0.000003,1740283,5.23018,5.02735
23-02-1996,4.95847,5.23018,5.02735,5.14982,0.000003,2308619,5.30162,5.10389
26-02-1996,5.14982,5.30162,5.10389,5.24677,0.000003,2226308,5.20467,5.05159
27-02-1996,5.24677,5.20467,5.05159,5.16385,0.000003,1191545,5.17916,5.05159
28-02-1996,5.16385,5.17916,5.05159,5.11027,0.000003,732957,5.05797,4.89851
29-02-1996,5.11027,5.05797,4.89851,4.95081,0.000003,1077878,5.15364,4.89979
01-03-1996,4.95081,5.15364,4.89979,5.1141,0.000003,1203304,5.17788,5.03883
04-03-1996,5.1141,5.17788,5.03883,5.11282,0.000003,1136672,5.0771,5.03883
06-03-1996,5.11282,5.0771,5.03883,5.0669,0.000003,172461,5.11537,5.02608
07-03-1996,5.0669,5.11537,5.02608,5.10262,0.000003,979889,5.12685,5.04139
08-03-1996,5.10262,5.12685,5.04139,5.07838,0.000003,658486,5.03883,4.84749
11-03-1996,5.07838,5.03883,4.84749,4.93423,0.000003,337082,4.97378,4.74926
12-03-1996,4.93423,4.97378,4.74926,4.79646,0.000003,364519,4.89851,4.79774
13-03-1996,4.79646,4.89851,4.79774,4.89213,0.000003,180300,5.04904,4.92403
14-03-1996,4.89213,5.04904,4.92403,4.9253,0.000003,270449,4.97505,4.90234
15-03-1996,4.9253,4.97505,4.90234,4.90234,0.000003,297886,4.95974,4.83473
18-03-1996,4.89851,4.95974,4.83473,4.93933,0.000003,576175,5.01332,4.84876
19-03-1996,4.93933,5.01332,4.84876,4.9725,0.000003,909337,5.00057,4.94954
21-03-1996,4.9725,5.00057,4.94954,4.95464,0.000003,215576,5.00057,4.95209
22-03-1996,4.95464,5.00057,4.95209,5.00057,0.000003,239093,5.00057,4.94954
25-03-1996,5.00057,5.00057,4.94954,4.99291,0.000003,391956,5.10262,4.97505
26-03-1996,4.99291,5.10262,4.97505,5.00822,0.000003,525221,5.1141,5.04011
27-03-1996,5.00822,5.1141,5.04011,5.10517,0.000003,489945,5.12813,5.10262
28-03-1996,5.10517,5.12813,5.10262,5.10389,0.000003,195978,5.12813,5.00057
29-03-1996,5.10389,5.12813,5.00057,5.0197,0.000003,148943,5.08986,4.97505
01-04-1996,5.0197,5.08986,4.97505,5.06945,0.000003,141104,5.05159,4.98908
02-04-1996,5.06945,5.05159,4.98908,5.00439,0.000003,278289,5.10262,5.02863
03-04-1996,5.08986,5.10262,5.02863,5.05159,0.000003,329243,4.97888,4.74543
04-04-1996,5.05159,4.97888,4.74543,4.91127,0.000003,783911,5.2238,4.91765
08-04-1996,4.91127,5.2238,4.91765,5.07455,0.000003,779992,5.10262,5.00057
09-04-1996,5.07455,5.10262,5.00057,5.00439,0.000003,321404,5.02608,4.92403
10-04-1996,5.00439,5.02608,4.92403,4.92403,0.000003,152863,4.92147,4.86407
11-04-1996,4.92403,4.92147,4.86407,4.87683,0.000003,152863,4.91765,4.86279
12-04-1996,4.87683,4.91765,4.86279,4.88958,0.000003,148943,4.97505,4.87938
15-04-1996,4.88958,4.97505,4.87938,4.94316,0.000003,211656,4.93678,4.86279
16-04-1996,4.94316,4.93678,4.86279,4.873,0.000003,352760,5.02608,4.88065
17-04-1996,4.873,5.02608,4.88065,4.97123,0.000003,246932,5.20467,5.02608
18-04-1996,4.97123,5.20467,5.02608,5.15875,0.000003,815268,5.68942,5.23018
19-04-1996,5.15875,5.68942,5.23018,5.54655,0.000003,2586908,5.81698,5.43429
22-04-1996,5.54655,5.81698,5.43429,5.50955,0.000003,2453643,5.61288,5.33351
23-04-1996,5.50955,5.61288,5.33351,5.52231,0.000003,1720686,5.93179,5.65753
24-04-1996,5.52231,5.93179,5.65753,5.89863,0.000003,2739770,6.12314,5.80678
