Date,Open,High,Low,Close,Adj Close,Volume,Next High,Next Low
02-04-1997,36.75,36.75,36.75,36.75,10.523391,267,40.3125,39.375
03-04-1997,40.3125,40.3125,39.375,39.9375,11.436134,30933,42.618801,41.287498
04-04-1997,42,42.618801,41.287498,42.5812,12.193161,88267,42.618801,41.3438
07-04-1997,42.618801,42.618801,41.3438,41.549999,11.897878,44000,45.693699,45
09-04-1997,45.375,45.693699,45,45.693699,13.084428,121867,48.6562,43.5187
10-04-1997,45.375,48.6562,43.5187,45.637501,13.068332,110400,46.5,44.0625
11-04-1997,44.625,46.5,44.0625,44.700001,12.799879,62933,46.6875,42.75
15-04-1997,45.75,46.6875,42.75,43.5938,12.483121,88800,46.4062,44.25
17-04-1997,45.112499,46.4062,44.25,45.712502,13.089812,202400,46.875,45.037498
21-04-1997,46.875,46.875,45.037498,45.8438,13.127408,16533,45.9375,44.2687
22-04-1997,45.9375,45.9375,44.2687,44.325001,12.692498,34133,46.200001,44.737499
23-04-1997,46.200001,46.200001,44.737499,45.375,12.993162,122133,49.912498,43.6875
24-04-1997,43.6875,49.912498,43.6875,49.012501,14.034768,150400,53.9062,49.3125
25-04-1997,49.7812,53.9062,49.3125,52.5187,15.038769,165067,55.125,52.5
28-04-1997,52.5,55.125,52.5,54.7687,15.683061,501333,55.349998,53.5312
29-04-1997,54.9562,55.349998,53.5312,54.412498,15.581065,110933,59.849998,55.9688
30-04-1997,58.125,59.849998,55.9688,57.1875,16.375685,288267,57.243801,54.6562
02-05-1997,56.6437,57.243801,54.6562,55.349998,15.849511,148533,55.012501,52.125
05-05-1997,52.5,55.012501,52.125,53.924999,15.441465,54933,54.9375,48.618801
06-05-1997,54,54.9375,48.618801,50.287498,14.399864,460267,55.3312,49.875
07-05-1997,51.75,55.3312,49.875,55.3312,15.84413,475467,58.049999,55.4062
08-05-1997,56.174999,58.049999,55.4062,55.5938,15.919335,296800,56.2313,54.375
09-05-1997,56.1562,56.2313,54.375,55.6688,15.940805,48800,55.875,53.287498
12-05-1997,54.75,55.875,53.287498,53.6437,15.360914,84800,54.637501,51.75
13-05-1997,52.724998,54.637501,51.75,53.2313,15.242823,170667,56.25,53.681301
14-05-1997,55.5,56.25,53.681301,55.443699,15.876346,181600,57,54.9375
