Date,Open,High,Low,Close,Adj Close,Volume,Next High,Next Low
01-07-2002,18.5,18.9,18.299999,18.6,13.672781,84409,19,18.5
02-07-2002,18.6,19,18.5,18.65,13.709536,34616,19,17.65
03-07-2002,18.65,19,17.65,17.950001,13.194972,89445,18.35,17.9
04-07-2002,18.25,18.35,17.9,18,13.231723,58765,18.200001,17.65
05-07-2002,17.85,18.200001,17.65,18.1,13.305233,30847,18.85,18.25
08-07-2002,18.25,18.85,18.25,18.549999,13.636024,60407,18.85,18.299999
09-07-2002,18.6,18.85,18.299999,18.549999,13.636024,50930,18.9,18.200001
10-07-2002,18.9,18.9,18.200001,18.25,13.415498,42355,18.4,17.9
11-07-2002,18,18.4,17.9,18,13.231723,26325,18,17.5
12-07-2002,18,18,17.5,17.65,12.974438,32957,17.799999,17.049999
15-07-2002,17.35,17.799999,17.049999,17.15,12.606893,34568,17.549999,17
16-07-2002,17,17.549999,17,17.299999,12.717157,31833,17.4,17
17-07-2002,17.4,17.4,17,17.049999,12.533381,22651,17.25,16.799999
18-07-2002,17.200001,17.25,16.799999,16.85,12.386364,11050,17.15,16.700001
19-07-2002,16.799999,17.15,16.700001,17,12.496629,11950,16.75,16.15
22-07-2002,16.4,16.75,16.15,16.299999,11.98206,31590,16.450001,16
23-07-2002,16.200001,16.450001,16,16.15,11.871796,39520,16.25,15.8
24-07-2002,15.8,16.25,15.8,16,11.761533,24985,16.6,16.1
25-07-2002,16.6,16.6,16.1,16.35,12.018816,24071,16.4,15.8
26-07-2002,16.4,16.4,15.8,15.85,11.65127,64231,15.9,15.5
29-07-2002,15.85,15.9,15.5,15.8,11.614511,52025,17,15.7
30-07-2002,17,17,15.7,16,11.761533,31304,16.5,15.6
31-07-2002,15.95,16.5,15.6,15.9,11.688025,27554,16.5,16
01-08-2002,16.5,16.5,16,16.1,11.835043,23971,16.200001,15.9
02-08-2002,16,16.200001,15.9,16,11.761533,33639,16.450001,16.15
05-08-2002,16.200001,16.450001,16.15,16.4,12.055568,41042,16.6,16.25
06-08-2002,16.6,16.6,16.25,16.35,12.018816,8592,16.75,16.4
07-08-2002,16.75,16.75,16.4,16.450001,12.092326,24862,16.65,16.049999
08-08-2002,16.450001,16.65,16.049999,16.1,11.835043,24957,16.200001,15.85
09-08-2002,16.200001,16.200001,15.85,15.95,11.724776,8215,16.299999,15.8
12-08-2002,15.8,16.299999,15.8,16.15,11.871796,16159,16.1,15.6
13-08-2002,15.8,16.1,15.6,16,11.761533,7450,16.25,16
14-08-2002,16.049999,16.25,16,16.200001,11.90855,15137,16.450001,16.15
16-08-2002,16.15,16.450001,16.15,16.299999,11.98206,15068,16.4,16.200001
19-08-2002,16.25,16.4,16.200001,16.299999,11.98206,6417,16.5,16
20-08-2002,16.4,16.5,16,16.25,11.945307,43801,16.75,16.1
21-08-2002,16.299999,16.75,16.1,16.15,11.871796,25113,16.65,15.85
22-08-2002,16.65,16.65,15.85,15.95,11.724776,20192,16.200001,15.55
23-08-2002,16,16.200001,15.55,16,11.761533,47754,16.299999,16
26-08-2002,16,16.299999,16,16.1,11.835043,10811,16.25,15.9
27-08-2002,16.25,16.25,15.9,15.9,11.688025,23259,16.799999,16.1
28-08-2002,16.25,16.799999,16.1,16.15,11.871796,19546,16.35,16
29-08-2002,16.35,16.35,16,16.049999,11.798286,17870,16,15.85
30-08-2002,15.95,16,15.85,15.9,11.688025,27692,16.25,15.95
02-09-2002,16,16.25,15.95,16.049999,11.798286,19826,16.15,16
03-09-2002,16,16.15,16,16.049999,11.798286,10655,16.049999,15.9
04-09-2002,16,16.049999,15.9,15.95,11.724776,11565,16.15,16
05-09-2002,16,16.15,16,16.049999,11.798286,12808,16.15,15.9
06-09-2002,16.1,16.15,15.9,16,11.761533,16233,16.200001,16
09-09-2002,16,16.200001,16,16.1,11.835043,24243,16.4,16.1
11-09-2002,16.1,16.4,16.1,16.35,12.018816,22785,19.6,16.6
12-09-2002,19.6,19.6,16.6,17.950001,13.194972,102613,18.1,17.5
13-09-2002,17.799999,18.1,17.5,17.6,12.937684,42666,17.799999,17.35
16-09-2002,17.5,17.799999,17.35,17.549999,12.900932,37459,17.799999,17.5
17-09-2002,17.65,17.799999,17.5,17.65,12.974438,32100,17,16.25
18-09-2002,16.700001,17,16.25,16.450001,13.134126,57165,16.4,15.7
19-09-2002,16.299999,16.4,15.7,15.8,12.615147,30765,15.95,15.4
20-09-2002,15.8,15.95,15.4,15.5,12.375621,20550,15.95,14.65
23-09-2002,15.95,15.95,14.65,15,11.976405,44035,15.35,14.75
24-09-2002,15.1,15.35,14.75,15,11.976405,45495,15,14.8
25-09-2002,14.9,15,14.8,15,11.976405,4909,15.1,14.25
26-09-2002,14.95,15.1,14.25,14.35,11.457429,51288,14.85,14.3
27-09-2002,14.3,14.85,14.3,14.75,11.776799,15154,15.25,14.8
30-09-2002,14.9,15.25,14.8,14.85,11.856643,8832,14.9,14.55
01-10-2002,14.85,14.9,14.55,14.75,11.776799,8483,14.95,13.55
03-10-2002,14.95,14.95,13.55,14,11.17798,26195,14.55,14
04-10-2002,14.1,14.55,14,14.35,11.457429,16328,14.65,14.35
07-10-2002,14.35,14.65,14.35,14.6,11.657037,13419,14.8,14.45
08-10-2002,14.6,14.8,14.45,14.5,11.577194,21754,14.85,14.4
09-10-2002,14.4,14.85,14.4,14.55,11.617113,15249,14.8,14.25
10-10-2002,14.55,14.8,14.25,14.7,11.736879,14913,14.8,14
11-10-2002,14.5,14.8,14,14.2,11.337666,19890,14.5,13.9
14-10-2002,14.45,14.5,13.9,14,11.17798,15970,14.2,13.85
16-10-2002,14,14.2,13.85,13.9,11.098136,25936,14,13.75
17-10-2002,13.95,14,13.75,13.9,11.098136,9740,14,13.85
18-10-2002,14,14,13.85,13.9,11.098136,8755,14,13.85
21-10-2002,14,14,13.85,13.9,11.098136,6125,14,13.5
22-10-2002,14,14,13.5,13.6,10.858609,33870,13.75,13.5
23-10-2002,13.5,13.75,13.5,13.7,10.938451,14554,13.85,13.6
24-10-2002,13.85,13.85,13.6,13.65,10.898529,11851,13.75,13.5
25-10-2002,13.55,13.75,13.5,13.6,10.858609,13630,13.95,13.4
28-10-2002,13.5,13.95,13.4,13.7,10.938451,9581,13.95,13.7
29-10-2002,13.8,13.95,13.7,13.9,11.098136,7002,14,13.75
30-10-2002,14,14,13.75,13.9,11.098136,14573,14.2,13.85
31-10-2002,14.1,14.2,13.85,14,11.17798,24445,14.45,12.75
01-11-2002,12.75,14.45,12.75,14.3,11.417509,34830,14.55,14.25
04-11-2002,14.4,14.55,14.25,14.45,11.537275,12301,14.75,14.3
05-11-2002,14.7,14.75,14.3,14.65,11.696957,22707,15.15,14.25
07-11-2002,14.7,15.15,14.25,14.25,11.377587,26133,14.7,14
08-11-2002,14,14.7,14,14.35,11.457429,10837,14.75,14.35
11-11-2002,14.5,14.75,14.35,14.4,11.49735,10241,14.6,14.2
12-11-2002,14.35,14.6,14.2,14.45,11.537275,10750,14.45,14.15
13-11-2002,14.3,14.45,14.15,14.15,11.297743,5901,14.45,14.3
