Date,Open,High,Low,Close,Adj Close,Volume,Next High,Next Low
15-04-1996,27.0833,27.0833,25.8333,25.8333,0.007435,28800,25.8333,25.8333
17-04-1996,25.8333,25.8333,25.8333,25.8333,0.007435,2400,27.0833,25.8333
18-04-1996,25.8333,27.0833,25.8333,25.8333,0.007435,9600,25.8333,25.8333
19-04-1996,25.8333,25.8333,25.8333,25.8333,0.007435,4800,25.8333,25.8333
22-04-1996,25.8333,25.8333,25.8333,25.8333,0.007435,4800,26.6667,26.6667
25-04-1996,25.8333,26.6667,26.6667,26.6667,0.007674,2400,27.0833,26.6667
26-04-1996,26.6667,27.0833,26.6667,27.0833,0.007794,4800,29.7917,27.0833
29-04-1996,27.0833,29.7917,27.0833,29.7917,0.008574,12000,30.8958,30.8958
30-04-1996,29.7917,30.8958,30.8958,30.8958,0.008891,600000,31.25,29.9979
02-05-1996,31.25,31.25,29.9979,29.9979,0.008633,4800,29.5833,29.5417
07-05-1996,29.5417,29.5833,29.5417,29.5833,0.008514,4800,31.25,31.25
08-05-1996,31.25,31.25,31.25,31.25,0.008993,2400,31.1042,30.5833
15-05-1996,30.5833,31.1042,30.5833,31.1042,0.008951,122400,30.8333,30
16-05-1996,30.8333,30.8333,30,30,0.008634,7200,31.25,30.625
17-05-1996,30.625,31.25,30.625,31.25,0.008993,26400,31.25,31.0417
22-05-1996,31.25,31.25,31.0417,31.0417,0.008933,14400,31.25,31.25
23-05-1996,31.25,31.25,31.25,31.25,0.008993,240000,31.25,31.25
24-05-1996,31.25,31.25,31.25,31.25,0.008993,360000,30.4167,30.4167
27-05-1996,30.4167,30.4167,30.4167,30.4167,0.008754,12000,31.25,30.8333
28-05-1996,31.25,31.25,30.8333,30.8333,0.008873,4800,32.083302,30.8333
29-05-1996,30.8333,32.083302,30.8333,32.083302,0.009233,38400,31.7083,31.6667
03-06-1996,32.083302,31.7083,31.6667,31.6667,0.009113,7200,34.375,31.6667
04-06-1996,31.875,34.375,31.6667,34.0625,0.009803,12000,32.291698,31.7083
05-06-1996,32.291698,32.291698,31.7083,31.7083,0.009125,12000,31.2708,30.8333
06-06-1996,31.2708,31.2708,30.8333,30.9562,0.008909,55200,31.25,31.25
07-06-1996,31.25,31.25,31.25,31.25,0.008993,2400,31.0417,30.8333
10-06-1996,31.0417,31.0417,30.8333,30.8333,0.008873,4800,29.5833,29.5833
11-06-1996,29.5833,29.5833,29.5833,29.5833,0.008514,2400,32.083302,32.083302
12-06-1996,32.083302,32.083302,32.083302,32.083302,0.009233,2400,32.083302,32.083302
17-06-1996,32.083302,32.083302,32.083302,32.083302,0.009233,2400,31.25,31.25
19-06-1996,31.25,31.25,31.25,31.25,0.008993,2400,31.0417,31.0417
20-06-1996,31.0417,31.0417,31.0417,31.0417,0.008933,2400,31.6667,31.6667
25-06-1996,31.6667,31.6667,31.6667,31.6667,0.009113,2400,30.8333,30.4167
26-06-1996,30.4167,30.8333,30.4167,30.8333,0.008873,7200,31.25,31.25
27-06-1996,31.25,31.25,31.25,31.25,0.008993,2400,33,33
01-07-1996,33,33,33,33,0.009497,72000,31.6667,30.4188
02-07-1996,30.4188,31.6667,30.4188,31.6667,0.009113,4800,32.083302,31.6667
03-07-1996,31.6667,32.083302,31.6667,31.875,0.009173,12000,31.2917,31.25
