Date,Open,High,Low,Close,Adj Close,Volume,Next High,Next Low
25-02-2008,194.899994,200,168,189.649994,153.139496,22521616,196.550003,182.550003
26-02-2008,196.550003,196.550003,182.550003,184.899994,149.30394,5365516,210.699997,185.300003
27-02-2008,189.75,210.699997,185.300003,203.800003,164.565384,14738869,214,200.699997
28-02-2008,203,214,200.699997,205.25,165.736267,7811243,206.5,192
29-02-2008,200,206.5,192,193.550003,156.288681,2006405,203.800003,184.199997
03-03-2008,191,203.800003,184.199997,193.649994,156.369431,3412517,203.899994,189
04-03-2008,195.050003,203.899994,189,196.850006,158.953369,2293406,201.25,195.149994
05-03-2008,197,201.25,195.149994,196.449997,158.630371,1106293,203.899994,182
07-03-2008,195,203.899994,182,198.699997,160.44722,1849094,198.899994,185.25
10-03-2008,196.899994,198.899994,185.25,191.75,154.835236,1267839,198.699997,189
11-03-2008,190,198.699997,189,194.600006,157.13652,1159618,199.949997,192.050003
12-03-2008,196,199.949997,192.050003,192.600006,155.521591,612383,196.800003,185.149994
13-03-2008,189.600006,196.800003,185.149994,185.800003,150.030685,525153,192,183.5
14-03-2008,190,192,183.5,184.850006,149.263611,368654,185.5,175.199997
17-03-2008,178,185.5,175.199997,181.050003,146.195114,230166,184.5,176
18-03-2008,184.5,184.5,176,177.949997,143.691925,120132,186,180
19-03-2008,182.149994,186,180,183.75,148.375336,253222,182,160.5
24-03-2008,180.100006,182,160.5,165.699997,133.800217,301849,177.5,165.5
25-03-2008,168,177.5,165.5,172.399994,139.210342,379831,179.5,164
26-03-2008,176.399994,179.5,164,172.699997,139.452637,225317,183.449997,168.050003
27-03-2008,171.199997,183.449997,168.050003,179.399994,144.862762,1032760,185,175.100006
28-03-2008,182,185,175.100006,177.699997,143.490051,313421,181.5,162.149994
31-03-2008,174.5,181.5,162.149994,169.350006,136.747543,800785,174.850006,167.550003
01-04-2008,171.100006,174.850006,167.550003,167.949997,135.61705,183793,175,163.100006
02-04-2008,173.5,175,163.100006,166.149994,134.163574,292969,172,164.050003
03-04-2008,164.050003,172,164.050003,167.949997,135.61705,205223,174.949997,166
04-04-2008,168.5,174.949997,166,170.449997,137.635788,418715,179.399994,168
07-04-2008,171,179.399994,168,176.850006,142.803696,291944,190,173.25
08-04-2008,178,190,173.25,175.850006,141.99617,536300,179.699997,172.199997
09-04-2008,174.949997,179.699997,172.199997,175.899994,142.036545,89990,181.300003,175
10-04-2008,177,181.300003,175,176.550003,142.561432,174236,184,175.100006
11-04-2008,178.100006,184,175.100006,182.75,147.567841,288231,192.949997,177.699997
15-04-2008,180,192.949997,177.699997,191.25,154.431473,366569,219.5,193.100006
16-04-2008,193.100006,219.5,193.100006,209,168.764313,2667624,214,200.350006
17-04-2008,213,214,200.350006,203.850006,164.605759,890512,215,203.100006
21-04-2008,206.449997,215,203.100006,209,168.764313,409318,217.949997,207
22-04-2008,211.399994,217.949997,207,211.199997,170.540771,654828,215.850006,208.25
23-04-2008,211,215.850006,208.25,210.600006,170.05629,459156,217,196.5
24-04-2008,217,217,196.5,202.600006,163.59642,880442,205.899994,197.800003
25-04-2008,204,205.899994,197.800003,200.600006,161.981461,162735,214.449997,195.199997
28-04-2008,201.899994,214.449997,195.199997,212.5,171.5905,872541,222,210.100006
29-04-2008,212.050003,222,210.100006,212.899994,171.913483,1463722,221.699997,212
30-04-2008,214,221.699997,212,213.25,172.196121,1128671,219,214.5
02-05-2008,215.899994,219,214.5,215.350006,173.89183,603873,219.899994,212.050003
05-05-2008,216,219.899994,212.050003,213.050003,172.034653,529050,214.949997,202.5
06-05-2008,213.300003,214.949997,202.5,209.899994,169.491028,329077,218.5,207.550003
07-05-2008,212.899994,218.5,207.550003,208.75,168.562454,747999,213.399994,202
08-05-2008,205.25,213.399994,202,210.850006,170.258163,388227,210.75,198.350006
09-05-2008,210.5,210.75,198.350006,201.649994,162.829269,195220,204.449997,192
12-05-2008,203.149994,204.449997,192,200.449997,161.860336,267220,211,201
13-05-2008,201,211,201,208.649994,168.481735,672537,210,203.899994
14-05-2008,205,210,203.899994,205.449997,165.89772,161636,209,205
15-05-2008,205.5,209,205,206.050003,166.382248,85919,212.899994,206.5
16-05-2008,207.050003,212.899994,206.5,210.149994,169.692902,360016,210.949997,205.899994
20-05-2008,209.149994,210.949997,205.899994,207.800003,167.795319,106210,213.100006,203
21-05-2008,203,213.100006,203,211.25,170.581177,241209,211.5,202
22-05-2008,203,211.5,202,202.949997,163.879013,421619,205.649994,196
