Date,Open,High,Low,Close,Adj Cose,Volume,Next High,Next Low
01-01-1996,5.55,5.6,5.53333,5.58333,0.000083,985500,5.56667,5.28889
02-01-1996,5.46667,5.56667,5.28889,5.37222,0.00008,7470000,5.25444,5.10111
03-01-1996,5.13333,5.25444,5.10111,5.2,0.000077,15160500,5.33222,5.14444
04-01-1996,5.2,5.33222,5.14444,5.29778,0.000079,12397500,5.27778,5.18889
05-01-1996,5.29778,5.27778,5.18889,5.20222,0.000078,5008500,5.23889,5.01111
08-01-1996,5.20222,5.23889,5.01111,5.04222,0.000075,12645000,5.10889,4.98333
09-01-1996,5.04222,5.10889,4.98333,5.02889,0.000075,8968500,5.11111,4.97778
10-01-1996,5.02889,5.11111,4.97778,5.01222,0.000075,2988000,5.04333,4.98889
11-01-1996,5.01222,5.04333,4.98889,5.03889,0.000075,2227500,5.13333,5.02222
12-01-1996,5.03889,5.13333,5.02222,5.08889,0.000076,4806000,5.11111,5.02778
15-01-1996,5.08889,5.11111,5.02778,5.03444,0.000075,2020500,5.06778,5
16-01-1996,5.03444,5.06778,5,5.01889,0.000075,3082500,5.04444,5.00222
17-01-1996,5.01889,5.04444,5.00222,5.01778,0.000075,3078000,4.99778,4.88889
18-01-1996,5.01778,4.99778,4.88889,4.95556,0.000074,5148000,4.96667,4.62778
19-01-1996,4.95556,4.96667,4.62778,4.74111,0.000071,16128000,4.77556,4.64556
22-01-1996,4.74111,4.77556,4.64556,4.70778,0.00007,3946500,4.74778,4.37778
23-01-1996,4.70778,4.74778,4.37778,4.41667,0.000066,7947000,4.47778,4.15
24-01-1996,4.41667,4.47778,4.15,4.22556,0.000063,15763500,4.22222,4.14444
25-01-1996,4.22556,4.22222,4.14444,4.18222,0.000062,8140500,4.50556,4.16778
29-01-1996,4.18222,4.50556,4.16778,4.41667,0.000066,9639000,4.82111,4.44
30-01-1996,4.41667,4.82111,4.44,4.69222,0.00007,15669000,4.65,4.46
31-01-1996,4.69222,4.65,4.46,4.51667,0.000067,9598500,4.86667,4.52222
01-02-1996,4.51667,4.86667,4.52222,4.79778,0.000071,12573000,5.44444,4.84444
02-02-1996,4.88778,5.44444,4.84444,5.34778,0.00008,28179000,5.88889,5.35556
05-02-1996,5.34778,5.88889,5.35556,5.62111,0.000084,18873000,5.77667,5.41222
06-02-1996,5.73333,5.77667,5.41222,5.56778,0.000083,14112000,5.6,5.33556
07-02-1996,5.48889,5.6,5.33556,5.48556,0.000082,13968000,6.06222,5.48889
08-02-1996,5.55556,6.06222,5.48889,6.06222,0.00009,21955500,6.39667,6.06889
09-02-1996,6.06222,6.39667,6.06889,6.26222,0.000093,12181500,6.34444,6
12-02-1996,6.34444,6.34444,6,6.06556,0.00009,14436000,6.28889,6
13-02-1996,6.06556,6.28889,6,6.21,0.000093,11718000,6.58889,6.31111
14-02-1996,6.31111,6.58889,6.31111,6.40333,0.000095,9598500,6.64444,6.33333
15-02-1996,6.40333,6.64444,6.33333,6.46667,0.000096,16924500,6.48889,6.15556
16-02-1996,6.31111,6.48889,6.15556,6.27444,0.000093,12861000,6.38889,6.26667
19-02-1996,6.27556,6.38889,6.26667,6.27222,0.000093,5913000,6.33333,5.86667
20-02-1996,6.33333,6.33333,5.86667,5.99667,0.000089,9823500,6.22111,6.12778
22-02-1996,5.99667,6.22111,6.12778,6.14333,0.000092,3231000,6.15556,5.98
23-02-1996,6.14333,6.15556,5.98,6.06444,0.00009,3168000,6.22222,6.00222
26-02-1996,6.06444,6.22222,6.00222,6.07889,0.000091,4230000,6.14444,6.02222
27-02-1996,6.07889,6.14444,6.02222,6.06,0.00009,4432500,6.21889,6
28-02-1996,6.06,6.21889,6,6.02556,0.00009,3217500,6,5.55667
29-02-1996,6.02556,6,5.55667,5.64556,0.000084,8167500,5.8,5.60333
01-03-1996,5.64556,5.8,5.60333,5.74222,0.000086,6880500,5.83333,5.68889
04-03-1996,5.74222,5.83333,5.68889,5.76556,0.000086,6084000,5.78,5.64444
06-03-1996,5.76556,5.78,5.64444,5.75889,0.000086,3960000,5.82222,5.65667
07-03-1996,5.75889,5.82222,5.65667,5.68667,0.000085,4450500,5.62222,5.51111
08-03-1996,5.68667,5.62222,5.51111,5.60333,0.000083,5472000,5.57444,5.40111
11-03-1996,5.60333,5.57444,5.40111,5.45,0.000081,4653000,5.44444,5.26778
12-03-1996,5.45,5.44444,5.26778,5.29222,0.000079,4117500,5.73333,5.31333
13-03-1996,5.29222,5.73333,5.31333,5.71222,0.000085,8941500,5.86667,5.62333
14-03-1996,5.73333,5.86667,5.62333,5.67444,0.000085,12537000,5.71111,5.58889
15-03-1996,5.67444,5.71111,5.58889,5.60667,0.000084,13815000,5.37333,5.16667
18-03-1996,5.31111,5.37333,5.16667,5.21444,0.000078,17239500,5.31111,5.00444
19-03-1996,5.15556,5.31111,5.00444,5.08889,0.000076,15408000,5.34444,5.13333
21-03-1996,5.13333,5.34444,5.13333,5.23222,0.000078,10872000,5.2,4.8
22-03-1996,5.23222,5.2,4.8,4.93556,0.000074,21861000,4.77778,4.46667
25-03-1996,4.77778,4.77778,4.46667,4.60222,0.000069,55692000,4.86667,4.51222
26-03-1996,4.51667,4.86667,4.51222,4.75111,0.000071,34699500,4.87222,4.71111
27-03-1996,4.71111,4.87222,4.71111,4.81778,0.000072,26779500,5.08889,4.93333
28-03-1996,4.93444,5.08889,4.93333,5.07,0.000076,33025500,5.13333,4.91333
29-03-1996,5.08889,5.13333,4.91333,4.97556,0.000074,23152500,5.08889,4.97444
01-04-1996,4.97444,5.08889,4.97444,5.04444,0.000075,12132000,5.31111,5.03333
02-04-1996,5.04444,5.31111,5.03333,5.22111,0.000078,32967000,5.42222,5.18111
03-04-1996,5.22111,5.42222,5.18111,5.21889,0.000078,16245000,5.36667,5.11222
04-04-1996,5.15667,5.36667,5.11222,5.35222,0.00008,42660000,5.63778,5.4
08-04-1996,5.45333,5.63778,5.4,5.6,0.000083,49014000,5.83333,5.58
09-04-1996,5.6,5.83333,5.58,5.69778,0.000085,48334500,5.72778,5.46778
10-04-1996,5.62778,5.72778,5.46778,5.53222,0.000082,42376500,5.53444,5.40667
11-04-1996,5.44444,5.53444,5.40667,5.48333,0.000082,33498000,5.53889,5.44667
12-04-1996,5.46778,5.53889,5.44667,5.52778,0.000082,18441000,5.63333,5.51111
15-04-1996,5.52778,5.63333,5.51111,5.53333,0.000082,22684500,5.75333,5.53222
16-04-1996,5.53333,5.75333,5.53222,5.65222,0.000084,34299000,5.96444,5.77889
17-04-1996,5.82,5.96444,5.77889,5.93111,0.000088,33628500,6.22222,6.06889
18-04-1996,6.12889,6.22222,6.06889,6.11556,0.000091,37921500,6.19778,6.05556
19-04-1996,6.11556,6.19778,6.05556,6.08333,0.000091,26325000,6.10667,5.88889
22-04-1996,6.08889,6.10667,5.88889,5.93333,0.000088,35055000,6.07667,5.84444
23-04-1996,5.85556,6.07667,5.84444,6.02667,0.00009,34960500,6.28889,6.16667
24-04-1996,6.02667,6.28889,6.16667,6.26,0.000093,23674500,6.26667,5.91111
25-04-1996,6.26667,6.26667,5.91111,5.98556,0.000089,23670000,6.2,5.97889
26-04-1996,6.04444,6.2,5.97889,6.08333,0.000091,20560500,6.14444,5.93556
29-04-1996,6.08333,6.14444,5.93556,6.11444,0.000091,17212500,6.12222,6
30-04-1996,6.11444,6.12222,6,6.05333,0.00009,13378500,6.17778,6.07778
01-05-1996,6.05333,6.17778,6.07778,6.13889,0.000091,5935500,6.15333,6.00556
02-05-1996,6.13889,6.15333,6.00556,6.13556,0.000091,19174500,6.21111,6.05889
03-05-1996,6.11333,6.21111,6.05889,6.08222,0.000091,24403500,6,5.82667
06-05-1996,5.98889,6,5.82667,5.84111,0.000087,20434500,5.91111,5.78222
07-05-1996,5.84111,5.91111,5.78222,5.86333,0.000087,9841500,5.99444,5.61222
08-05-1996,5.86333,5.99444,5.61222,5.93778,0.000088,28692000,5.95222,5.81333
09-05-1996,5.87778,5.95222,5.81333,5.83778,0.000087,14679000,5.90889,5.71222
10-05-1996,5.83778,5.90889,5.71222,5.87111,0.000087,20101500,6.21111,5.95667
13-05-1996,6,6.21111,5.95667,6.14889,0.000092,31594500,6.53333,6.11667
14-05-1996,6.13333,6.53333,6.11667,6.47222,0.000096,66078000,6.46667,6.17333
15-05-1996,6.44444,6.46667,6.17333,6.41333,0.000096,50305500,6.57667,6.38889
16-05-1996,6.46667,6.57667,6.38889,6.43667,0.000096,33187500,6.43667,6.31333
17-05-1996,6.43667,6.43667,6.31333,6.34556,0.000095,21501000,6.21111,6.00222
20-05-1996,6.17778,6.21111,6.00222,6.02111,0.00009,18441000,6.05444,5.85667
21-05-1996,5.95556,6.05444,5.85667,5.91222,0.000088,35910000,6.11111,5.99778
22-05-1996,5.99778,6.11111,5.99778,6.02889,0.00009,20898000,6.09889,5.95
23-05-1996,6.06667,6.09889,5.95,5.98,0.000089,20889000,6.10889,6
24-05-1996,6.02222,6.10889,6,6.06222,0.00009,21708000,6.04111,5.88889
27-05-1996,6.02222,6.04111,5.88889,5.90444,0.000088,22122000,5.95111,5.77889
