Date,Open,High,Low,Close,Adj Close,Volume,Next High,Next Low
12-08-2011,53.849998,53.849998,49.299999,50.049999,46.414021,98188152,51.299999,49
16-08-2011,50.900002,51.299999,49,49.299999,45.71851,12378173,49.799999,48
17-08-2011,49.650002,49.799999,48,48.150002,44.652054,4804559,48.5,46.150002
18-08-2011,48.150002,48.5,46.150002,46.299999,42.936447,4346287,46.049999,44.650002
19-08-2011,46.049999,46.049999,44.650002,44.900002,41.638161,4196723,45.400002,44.400002
22-08-2011,45,45.400002,44.400002,44.700001,41.452682,3144678,46.950001,44.650002
23-08-2011,45.049999,46.950001,44.650002,46.450001,43.075558,4208711,48.200001,46
24-08-2011,46.400002,48.200001,46,47.25,43.817436,3142285,48.200001,47
25-08-2011,47.700001,48.200001,47,47.450001,44.002907,1740800,47.900002,45.799999
26-08-2011,47.700001,47.900002,45.799999,46.150002,42.797348,1769056,53.049999,46.75
29-08-2011,47,53.049999,46.75,50.799999,47.109539,6213609,52.799999,49.25
30-08-2011,52.5,52.799999,49.25,49.799999,46.18219,10696584,51.299999,48.599998
02-09-2011,50.049999,51.299999,48.599998,50.549999,46.877705,3811454,52,49.549999
05-09-2011,50,52,49.549999,51.5,47.75869,5493057,52.25,50.599998
06-09-2011,51.150002,52.25,50.599998,51.799999,48.036888,5941534,52.700001,51.349998
07-09-2011,52,52.700001,51.349998,52.099998,48.315094,5477769,52.200001,51.549999
08-09-2011,52.049999,52.200001,51.549999,51.799999,48.036888,2291566,52.200001,50.799999
09-09-2011,51.900002,52.200001,50.799999,50.950001,47.248646,1657760,51.650002,49.700001
12-09-2011,50.950001,51.650002,49.700001,50.799999,47.109539,2943855,51.549999,50.099998
13-09-2011,51.400002,51.549999,50.099998,50.200001,46.553131,1345797,50.799999,50.099998
14-09-2011,50.799999,50.799999,50.099998,50.200001,46.553131,737756,51.099998,50.099998
15-09-2011,50.599998,51.099998,50.099998,50.25,46.599499,956407,50.650002,49.900002
16-09-2011,50.349998,50.650002,49.900002,50.049999,46.414021,985457,50.400002,49.549999
19-09-2011,49.549999,50.400002,49.549999,49.950001,46.321289,698587,50.349998,49.549999
20-09-2011,50,50.349998,49.549999,49.950001,46.321289,742380,51,49.900002
21-09-2011,50,51,49.900002,50.549999,46.877705,1324373,50.299999,49
22-09-2011,50,50.299999,49,49.099998,45.533039,1156544,49.150002,47.75
23-09-2011,48.75,49.150002,47.75,48.549999,45.022995,1426707,49.049999,47.200001
26-09-2011,48.5,49.049999,47.200001,47.700001,44.234745,1091743,49.25,48.150002
27-09-2011,48.400002,49.25,48.150002,49.049999,45.486671,1077459,49.450001,48.799999
28-09-2011,49.299999,49.450001,48.799999,49.049999,45.486671,620212,49.099998,48.099998
29-09-2011,48.700001,49.099998,48.099998,48.299999,44.791161,667839,48.900002,48
30-09-2011,48.299999,48.900002,48,48.150002,44.652054,504352,48,47.200001
03-10-2011,47.549999,48,47.200001,47.549999,44.095638,504729,48,46.900002
04-10-2011,47.400002,48,46.900002,47.299999,43.863804,620098,47.849998,47
05-10-2011,47.5,47.849998,47,47.049999,43.631969,389282,49.900002,47.650002
07-10-2011,48.200001,49.900002,47.650002,48.900002,45.347572,1410397,49.900002,49
