Date,Open,High,Low,Close,Adj Close,Volume,Next High,Next Low
27-12-2012,68.5,77.349998,68.5,74.599998,66.157593,129408488,77.150002,72.675003
28-12-2012,74.900002,77.150002,72.675003,73.5,65.182083,14809902,76.650002,72.5
31-12-2012,73.425003,76.650002,72.5,74.849998,66.379311,8382588,83.949997,75.275002
01-01-2013,75.800003,83.949997,75.275002,82.650002,73.296577,23287296,89.625,82.800003
02-01-2013,83.050003,89.625,82.800003,87.699997,77.775085,28335538,92.400002,87.5
03-01-2013,88.449997,92.400002,87.5,91.775002,81.388924,16827662,94.699997,91.400002
04-01-2013,92.5,94.699997,91.400002,93.875,83.251259,12499890,97.449997,90.25
07-01-2013,94.5,97.449997,90.25,90.824997,80.546417,12390126,93.175003,88.050003
08-01-2013,91.375,93.175003,88.050003,88.75,78.706253,10552630,90.199997,87.150002
09-01-2013,89.449997,90.199997,87.150002,87.775002,77.841591,6870210,88.900002,82.550003
10-01-2013,88.349998,88.900002,82.550003,83.050003,73.651321,6637314,83.5,77.25
11-01-2013,83.5,83.5,77.25,77.900002,69.084145,10038116,86.824997,77.849998
14-01-2013,78,86.824997,77.849998,86.099998,76.356148,13364678,88.199997,83.224998
15-01-2013,86.875,88.199997,83.224998,84.449997,74.892876,7698936,84.699997,81.349998
16-01-2013,84.050003,84.699997,81.349998,81.949997,72.675797,3344648,83.824997,81.275002
17-01-2013,82.75,83.824997,81.275002,82.349998,73.030533,3543024,83.099998,80.324997
18-01-2013,83.099998,83.099998,80.324997,80.875,71.722458,2031310,82.25,79.550003
21-01-2013,81.025002,82.25,79.550003,80.300003,71.21254,2160820,80.474998,77.625
22-01-2013,80.150002,80.474998,77.625,77.949997,69.128471,2650956,81.400002,77.574997
23-01-2013,78.5,81.400002,77.574997,80.699997,71.567253,5241512,81.324997,76.599998
24-01-2013,81.324997,81.324997,76.599998,76.974998,68.263817,2832392,79.599998,76.224998
25-01-2013,77.025002,79.599998,76.224998,78.775002,69.860107,2190362,83.25,78.5
28-01-2013,79.375,83.25,78.5,81,71.833313,3438238,82.224998,79.5
29-01-2013,81.25,82.224998,79.5,80.974998,71.811134,1724504,81.425003,78.375
30-01-2013,80.900002,81.425003,78.375,79,70.059654,1057980,80.650002,78.25
31-01-2013,79.25,80.650002,78.25,80.224998,71.146004,1112132,82.675003,79.199997
01-02-2013,81,82.675003,79.199997,79.900002,70.857788,1664428,80.875,77.599998
04-02-2013,80.175003,80.875,77.599998,78,69.172829,946804,78.800003,75.199997
05-02-2013,77.550003,78.800003,75.199997,76.275002,67.643044,1816246,77.25,70.150002
06-02-2013,77.125,77.25,70.150002,71,62.964996,4236034,71.974998,67.025002
07-02-2013,71.375,71.974998,67.025002,71.199997,63.142368,8244064,71.824997,69.050003
08-02-2013,71.574997,71.824997,69.050003,69.974998,62.055992,1641442,70.849998,59.299999
11-02-2013,68.800003,70.849998,59.299999,62.099998,55.072201,9330500,66.5,61.049999
12-02-2013,61.049999,66.5,61.049999,65.974998,58.508678,5597974,70.925003,66.400002
13-02-2013,66.400002,70.925003,66.400002,70.175003,62.233376,4559318,70.974998,68.25
14-02-2013,70.974998,70.974998,68.25,70.175003,62.233376,2377794,71.400002,68.550003
15-02-2013,71.400002,71.400002,68.550003,69.900002,61.989491,1251088,71.400002,69
18-02-2013,69.800003,71.400002,69,69.925003,62.011654,1230778,71.199997,69.125
19-02-2013,69.974998,71.199997,69.125,70.675003,62.676781,1029770,71.699997,70.5
20-02-2013,71.175003,71.699997,70.5,70.925003,62.898502,1114162,70.324997,68.125
21-02-2013,69.949997,70.324997,68.125,68.650002,60.880943,1432500,70.949997,68.099998
22-02-2013,68.650002,70.949997,68.099998,70.525002,62.543762,1165574,71.375,65.125
25-02-2013,70.900002,71.375,65.125,66.775002,59.218136,1835790,66.675003,61
26-02-2013,66.650002,66.675003,61,62.349998,55.293915,2096160,64.25,57.924999
27-02-2013,63.125,64.25,57.924999,63.025002,55.892532,1510732,63.974998,57.25
28-02-2013,63.974998,63.974998,57.25,57.75,51.214493,3948898,59.150002,53.25
01-03-2013,57.700001,59.150002,53.25,54.450001,48.287952,2451766,56.474998,52.549999
04-03-2013,54.599998,56.474998,52.549999,54.150002,48.0219,1884764,62.974998,54.174999
05-03-2013,54.974998,62.974998,54.174999,60.549999,53.697617,6561442,67.25,60.875
06-03-2013,61.299999,67.25,60.875,65.875,58.419994,7338136,66.375,61.025002
07-03-2013,61.025002,66.375,61.025002,63.424999,56.24725,2734770,63.700001,60.549999
08-03-2013,63.5,63.700001,60.549999,61.424999,54.473591,2392762,63.650002,61.325001
11-03-2013,61.599998,63.650002,61.325001,61.974998,54.961346,1830418,63.150002,60.174999
