Date,Open,High,Low,Close,Adj Close,Volume,Next High,Next Low
12-03-2008,64.949997,64.949997,59.375,60.650002,23.149876,223361888,60.799999,54.25
13-03-2008,58.174999,60.799999,54.25,56.799999,21.680338,46737320,58.375,54.674999
14-03-2008,57.5,58.375,54.674999,56.224998,21.460871,13325934,54.5,50.25
17-03-2008,53,54.5,50.25,52.400002,20.000881,16572398,54.5,51.049999
18-03-2008,52,54.5,51.049999,52.599998,20.077217,10740822,54.849998,50.5
19-03-2008,53.5,54.849998,50.5,51.075001,19.495132,6279710,52.349998,46.325001
24-03-2008,51.575001,52.349998,46.325001,48.099998,18.359583,6083648,52.974998,47.625
25-03-2008,49.299999,52.974998,47.625,52.375,19.991339,12995302,53.700001,51.349998
26-03-2008,52.5,53.700001,51.349998,52.625,20.086763,9409436,55.875,52.375
27-03-2008,52.5,55.875,52.375,55.099998,21.031458,13998138,55.974998,52.599998
28-03-2008,55.5,55.974998,52.599998,54.525002,20.811981,6589468,54.950001,52.875
31-03-2008,54.724998,54.950001,52.875,53.224998,20.315777,4481170,54.450001,51.849998
01-04-2008,53.724998,54.450001,51.849998,52.150002,19.905458,1779984,54.450001,51.849998
02-04-2008,53,54.450001,51.849998,52.025002,19.857744,1586224,52.849998,51.900002
03-04-2008,52.349998,52.849998,51.900002,52.174999,19.914997,1229596,53.650002,50.549999
04-04-2008,52.150002,53.650002,50.549999,51.174999,19.5333,2285674,53.5,50.849998
07-04-2008,51.625,53.5,50.849998,53.125,20.277605,1500554,54.799999,52.275002
08-04-2008,52.75,54.799999,52.275002,53.724998,20.506622,2906726,56.875,52.549999
09-04-2008,53,56.875,52.549999,56.474998,21.556292,5838776,57.950001,55.025002
10-04-2008,56.125,57.950001,55.025002,55.700001,21.260475,4868658,56.700001,54.625
11-04-2008,56.125,56.700001,54.625,55.825001,21.308189,2317858,58.400002,54.549999
15-04-2008,55,58.400002,54.549999,57.924999,22.109753,5429440,58.950001,56.5
16-04-2008,58.400002,58.950001,56.5,57.400002,21.909359,2939278,58.5,57.5
17-04-2008,58.5,58.5,57.5,57.724998,22.033417,1853050,59.200001,57.25
21-04-2008,58,59.200001,57.25,57.400002,21.909359,2672522,57.799999,56.549999
22-04-2008,57.25,57.799999,56.549999,56.974998,21.747137,1448658,57.599998,55.5
23-04-2008,57.5,57.599998,55.5,56.474998,21.556292,1751928,58.375,56.5
24-04-2008,56.625,58.375,56.5,56.825001,21.689884,3180840,59.450001,56.075001
25-04-2008,57,59.450001,56.075001,58.525002,22.33877,2843988,60,55.849998
28-04-2008,60,60,55.849998,57.25,21.85211,6256432,60.349998,57.5
29-04-2008,57.5,60.349998,57.5,59.775002,22.815886,13410512,63.099998,60
30-04-2008,60.5,63.099998,60,61.275002,23.388435,15467122,62.724998,60.150002
02-05-2008,62.349998,62.724998,60.150002,60.650002,23.149876,4004358,62.950001,60.299999
05-05-2008,60.75,62.950001,60.299999,61.724998,23.560192,6140868,62.400002,58.650002
06-05-2008,62.200001,62.400002,58.650002,59.825001,22.834969,3807866,60.875,59.049999
07-05-2008,60,60.875,59.049999,60.325001,23.025818,2621080,61.125,59
08-05-2008,59.775002,61.125,59,60.025002,22.911314,1945430,60,57.575001
09-05-2008,59.450001,60,57.575001,57.950001,22.119289,2551892,58.450001,55.75
12-05-2008,57.025002,58.450001,55.75,57.900002,22.100206,1921746,59.700001,57.275002
13-05-2008,58.75,59.700001,57.275002,57.650002,22.004784,1971628,58.700001,57.099998
14-05-2008,57.75,58.700001,57.099998,58.224998,22.224257,2004370,59.150002,58.174999
15-05-2008,58.974998,59.150002,58.174999,58.525002,22.33877,458696,59,58.25
16-05-2008,58.900002,59,58.25,58.5,22.329224,485366,59.5,58.25
20-05-2008,58.849998,59.5,58.25,58.674999,22.396021,1259422,60.424999,58.25
21-05-2008,58.25,60.424999,58.25,59.400002,22.67275,2948230,59.25,57.125
22-05-2008,59.25,59.25,57.125,57.474998,21.937986,1606554,58.349998,57.049999
23-05-2008,58.349998,58.349998,57.049999,57.474998,21.937986,1372818,57.200001,55.049999
26-05-2008,56.525002,57.200001,55.049999,55.650002,21.241392,889734,57.924999,53.875
27-05-2008,56.849998,57.924999,53.875,54.150002,20.668846,1431402,55.799999,53.799999
28-05-2008,54.5,55.799999,53.799999,55.325001,21.117342,1573892,56.400002,53.049999
29-05-2008,55.75,56.400002,53.049999,53.875,20.563879,3242640,54.5,53.5
30-05-2008,54,54.5,53.5,53.599998,20.45891,537726,54.400002,51.825001
02-06-2008,53.875,54.400002,51.825001,52.075001,19.876829,931844,51.849998,50.025002
03-06-2008,51,51.849998,50.025002,50.799999,19.390169,2384776,51.799999,49.575001
04-06-2008,51.075001,51.799999,49.575001,50.400002,19.237488,1063264,51.450001,49.924999
05-06-2008,51.450001,51.450001,49.924999,50.950001,19.447422,513512,51.5,50.5
06-06-2008,51.400002,51.5,50.5,50.950001,19.447422,479680,50,47.5
09-06-2008,49,50,47.5,49.700001,18.970297,1090942,50.650002,48.049999
10-06-2008,49.5,50.650002,48.049999,50.424999,19.247028,1032240,52.150002,50.549999
11-06-2008,51,52.150002,50.549999,51.299999,19.581015,901756,50.950001,49.5
12-06-2008,50,50.950001,49.5,50.674999,19.342453,778322,51.375,50
13-06-2008,51.25,51.375,50,50.200001,19.16115,783680,51.424999,50.799999
16-06-2008,50.900002,51.424999,50.799999,51.099998,19.504677,250284,51.525002,50.5
17-06-2008,50.775002,51.525002,50.5,51.375,19.609642,820062,53.450001,51.375
18-06-2008,51.549999,53.450001,51.375,51.724998,19.743235,1275792,51.349998,48.775002
19-06-2008,51.049999,51.349998,48.775002,49.400002,18.855795,947130,50.450001,47.775002
20-06-2008,50,50.450001,47.775002,48.200001,18.397755,886250,48.5,46.5
23-06-2008,47.5,48.5,46.5,46.849998,17.882467,411004,47.5,46
24-06-2008,46.950001,47.5,46,46.674999,17.815666,425498,46.75,45.575001
25-06-2008,46,46.75,45.575001,45.974998,17.548481,680306,46.950001,44
26-06-2008,46.700001,46.950001,44,44.200001,16.870972,1469144,44.200001,42.75
27-06-2008,44.200001,44.200001,42.75,43.325001,16.536983,494306,43.5,41.525002
30-06-2008,43.5,43.5,41.525002,41.849998,15.973984,486432,41.974998,38.025002
01-07-2008,41.5,41.974998,38.025002,38.650002,14.752556,2449924,40.474998,37
02-07-2008,39,40.474998,37,39.974998,15.258305,1193620,40,36.299999
03-07-2008,39.5,40,36.299999,37.325001,14.246813,775688,39.450001,36.900002
04-07-2008,37.5,39.450001,36.900002,38.450001,14.676219,659278,41,38.5
07-07-2008,38.75,41,38.5,39.825001,15.201052,757148,41.349998,38.025002
08-07-2008,39,41.349998,38.025002,40.150002,15.325103,1016530,41.724998,40.599998
09-07-2008,41,41.724998,40.599998,40.875,15.601832,1019548,41.424999,39.049999
10-07-2008,40.474998,41.424999,39.049999,40.650002,15.515952,676188,41.5,39.150002
11-07-2008,40.700001,41.5,39.150002,39.375,15.029285,500950,39.974998,38.625
14-07-2008,39.25,39.974998,38.625,39.150002,14.943404,274298,38.950001,36.799999
15-07-2008,38.5,38.950001,36.799999,37.450001,14.294521,658522,38.5,36
16-07-2008,37.450001,38.5,36,36.375,13.884199,805080,38.400002,37.025002
17-07-2008,37.950001,38.400002,37.025002,37.474998,14.304061,376798,39.5,37
18-07-2008,39,39.5,37,39.25,14.981573,501754,41.200001,38.549999
21-07-2008,39.25,41.200001,38.549999,41,15.649544,451682,44.275002,41.25
22-07-2008,41.25,44.275002,41.25,43.5,16.603785,1342792,47,44.5
23-07-2008,44.5,47,44.5,46.025002,17.567566,966068,46.849998,44.299999
24-07-2008,46.849998,46.849998,44.299999,44.674999,17.052277,468864,45.5,43.049999
25-07-2008,43.049999,45.5,43.049999,44.775002,17.090448,372624,46.625,44.025002
28-07-2008,44.775002,46.625,44.025002,46.25,17.653448,1391490,47.25,44
29-07-2008,45.5,47.25,44,44.299999,16.909138,1501236,46.049999,44.25
30-07-2008,44.950001,46.049999,44.25,45.275002,17.281294,741668,45.549999,43.325001
31-07-2008,45.549999,45.549999,43.325001,43.875,16.746918,1858328,44.75,43.075001
01-08-2008,43.525002,44.75,43.075001,44.349998,16.928226,864200,45.174999,44.075001
04-08-2008,44.849998,45.174999,44.075001,44.650002,17.04273,1017484,47.474998,44.5
05-08-2008,44.5,47.474998,44.5,46.200001,17.634365,4039806,48.549999,45.575001
06-08-2008,47.25,48.549999,45.575001,46,17.558029,1892172,47.700001,45.5
07-08-2008,46,47.700001,45.5,46.474998,17.73933,1252412,46.950001,45.775002
08-08-2008,46.450001,46.950001,45.775002,46.174999,17.624819,1065980,47.349998,46.525002
11-08-2008,47,47.349998,46.525002,46.75,17.844297,1095282,47.950001,46.200001
12-08-2008,47.049999,47.950001,46.200001,47.125,17.987432,2791164,47.450001,46.049999
13-08-2008,46.525002,47.450001,46.049999,46.25,17.653448,1381642,47.5,45.25
14-08-2008,46.849998,47.5,45.25,45.75,17.462599,1539968,46.049999,44.525002
18-08-2008,45.549999,46.049999,44.525002,44.625,17.033192,590162,44.799999,44.025002
19-08-2008,44.5,44.799999,44.025002,44.174999,16.861427,742956,44.950001,44.25
20-08-2008,44.75,44.950001,44.25,44.5,16.985476,908538,44.724998,42.950001
21-08-2008,44.650002,44.724998,42.950001,43.125,16.460651,512754,43.200001,42.174999
22-08-2008,43.025002,43.200001,42.174999,42.599998,16.260256,572232,43.674999,42.099998
25-08-2008,43.525002,43.674999,42.099998,42.424999,16.193459,732240,42.5,41.525002
26-08-2008,41.950001,42.5,41.525002,42.349998,16.164831,380242,43.325001,42
27-08-2008,42.5,43.325001,42,42.174999,16.098038,1046512,42.5,40.950001
28-08-2008,42.049999,42.5,40.950001,41.200001,15.725883,1349082,43.75,41.5
29-08-2008,41.5,43.75,41.5,43.575001,16.632412,2925374,45.75,42.575001
01-09-2008,42.974998,45.75,42.575001,45.5,17.367174,2882764,46.25,44.799999
02-09-2008,45.5,46.25,44.799999,45.775002,17.472145,934974,47.450001,44.599998
04-09-2008,47.450001,47.450001,44.599998,44.724998,17.071363,535814,45.799999,43.5
05-09-2008,44.450001,45.799999,43.5,45.474998,17.357634,698666,47.200001,45.125
08-09-2008,45.75,47.200001,45.125,46.575001,19.033119,1887802,46.75,45.549999
09-09-2008,46.75,46.75,45.549999,45.75,18.695978,422894,45.974998,44.625
10-09-2008,45,45.974998,44.625,44.799999,18.307756,270840,44.650002,43.575001
11-09-2008,44.650002,44.650002,43.575001,43.75,17.878664,338992,44.625,42.599998
12-09-2008,44,44.625,42.599998,43.075001,17.602825,283984,42.75,40.400002
15-09-2008,42.049999,42.75,40.400002,42.650002,17.429148,1055234,41.75,40
