Date,Open,High,Low,Close,Adj Close,Volume,Next High,Next Low
11-02-2008,331.25,331.25,222.061996,234.375,229.60643,215028070,246.875,211.561996
12-02-2008,238.343994,246.875,211.561996,221.531006,217.023758,66575923,230.406006,208.125
13-02-2008,228.125,230.406006,208.125,218.843994,214.391418,39014579,234.375,222.468994
14-02-2008,222.468994,234.375,222.468994,231.218994,226.514648,20221843,243.093994,222.5
15-02-2008,224.438004,243.093994,222.5,240.311996,235.422638,28134886,268.75,248.25
18-02-2008,248.25,268.75,248.25,258.718994,253.455139,31989427,262.468994,255.311996
19-02-2008,259.375,262.468994,255.311996,258.437988,253.17984,16602061,258,253.281006
20-02-2008,256.187988,258,253.281006,255.343994,250.148804,10811101,265.625,256.968994
21-02-2008,258.75,265.625,256.968994,263.656006,258.291687,14975398,270.25,254.5
22-02-2008,264.375,270.25,254.5,260.718994,255.414444,30777955,284.968994,263.156006
25-02-2008,271.875,284.968994,263.156006,281.687988,275.956787,53687347,285.468994,276.968994
26-02-2008,281.25,285.468994,276.968994,279.968994,274.272797,18034808,283.75,277.968994
27-02-2008,283.75,283.75,277.968994,279.281006,273.598785,7732386,279.937988,272.906006
28-02-2008,279.062012,279.937988,272.906006,276.281006,270.659821,9600147,279.531006,265.656006
29-02-2008,271.937988,279.531006,265.656006,269.375,263.894318,7743325,265,253.938004
03-03-2008,263.75,265,253.938004,257.593994,252.353027,3960222,259.031006,242.811996
04-03-2008,256.25,259.031006,242.811996,245.25,240.260178,6514482,246.625,233.156006
05-03-2008,243.75,246.625,233.156006,235.031006,230.2491,6937939,231.25,206.25
07-03-2008,231.25,231.25,206.25,210.5,206.217194,13527483,215.561996,193.811996
10-03-2008,206.25,215.561996,193.811996,209.406006,205.145462,11534976,228.031006,200.156006
11-03-2008,208.125,228.031006,200.156006,224.125,219.564987,12018530,236.188004,212.561996
12-03-2008,230.625,236.188004,212.561996,215.656006,211.268295,10037869,210.875,196.875
13-03-2008,196.875,210.875,196.875,201,196.910477,7894826,214.811996,196.875
14-03-2008,200.811996,214.811996,196.875,211.093994,206.799103,7803333,208.688004,195.906006
17-03-2008,206.25,208.688004,195.906006,197.218994,193.206406,8591163,203.75,190.875
18-03-2008,190.875,203.75,190.875,197.781006,193.756973,7865406,210.625,195.688004
19-03-2008,210.625,210.625,195.688004,196.875,192.8694,4335842,201.218994,189.375
24-03-2008,201.218994,201.218994,189.375,191.561996,187.664505,4053534,202.156006,193.281006
25-03-2008,195.156006,202.156006,193.281006,199.781006,195.716293,6334472,206.561996,197.656006
26-03-2008,200.688004,206.561996,197.656006,201.938004,197.829407,6438453,206.25,198.281006
27-03-2008,200,206.25,198.281006,204.906006,200.737015,5677842,210.843994,205.625
28-03-2008,207.688004,210.843994,205.625,208.781006,204.533173,6299259,208.688004,197.5
31-03-2008,204.375,208.688004,197.5,198.75,194.706253,8778016,205.625,194.688004
01-04-2008,201.875,205.625,194.688004,200.811996,196.726303,4364342,208.75,203.5
02-04-2008,206.25,208.75,203.5,204.531006,200.369644,3365795,208.061996,202.5
03-04-2008,202.656006,208.061996,202.5,206.781006,202.573868,3148779,207.5,200.688004
04-04-2008,206.906006,207.5,200.688004,201.656006,197.553146,2059118,210,198.781006
07-04-2008,201.25,210,198.781006,208.656006,204.410721,4225000,226.875,204.375
08-04-2008,208.125,226.875,204.375,219.561996,215.094818,12812051,229.968994,216.25
09-04-2008,219.311996,229.968994,216.25,226.561996,221.952393,9947050,229.875,221.343994
10-04-2008,226.188004,229.875,221.343994,224.061996,219.503265,6566656,242.5,223.75
11-04-2008,226.906006,242.5,223.75,226.938004,222.320755,4671720,243,219.375
15-04-2008,225,243,219.375,240.25,235.361908,7859861,252.5,233.125
16-04-2008,245.625,252.5,233.125,234.531006,229.759262,11179198,243.75,236.281006
17-04-2008,237.5,243.75,236.281006,240.468994,235.576447,5496902,244.5,232.875
21-04-2008,241.875,244.5,232.875,233.875,229.116608,4850525,240,227.561996
22-04-2008,231.25,240,227.561996,236.343994,231.53537,5687811,243.375,236.938004
23-04-2008,241.688004,243.375,236.938004,240.656006,235.759644,4483979,246.561996,238.125
24-04-2008,245,246.561996,238.125,242.281006,237.351593,8212848,253.061996,240.75
25-04-2008,243.125,253.061996,240.75,251.311996,246.198837,13128366,259.25,250.811996
28-04-2008,253.125,259.25,250.811996,251.968994,246.842468,7930946,255.625,247.561996
29-04-2008,250.625,255.625,247.561996,251.156006,246.046021,6371909,254.375,245.968994
30-04-2008,253.125,254.375,245.968994,246.656006,241.637573,3633200,252.5,246.5
02-05-2008,250,252.5,246.5,247.281006,242.249863,5319072,253.688004,247.843994
05-05-2008,250,253.688004,247.843994,250.468994,245.372986,5251008,256.187988,248.561996
06-05-2008,251.25,256.187988,248.561996,252.281006,247.148132,6927333,258.718994,251.311996
07-05-2008,253.438004,258.718994,251.311996,257.187988,251.955276,7228755,267.125,253.156006
08-05-2008,257.187988,267.125,253.156006,262.781006,257.434509,15376101,267.312012,253.25
09-05-2008,263.125,267.312012,253.25,255.593994,250.393707,8762360,258.468994,247.031006
12-05-2008,256.875,258.468994,247.031006,256.187988,250.975616,6659261,262.5,253.188004
13-05-2008,262.125,262.5,253.188004,254.218994,249.046692,4908034,257.187988,251.875
14-05-2008,254.218994,257.187988,251.875,255.781006,250.57692,4043832,261.5,256.562012
15-05-2008,261.5,261.5,256.562012,259.937988,254.649323,3737165,265.156006,259.437988
16-05-2008,259.937988,265.156006,259.437988,261.156006,255.84256,2718026,273.062012,258.75
20-05-2008,263.093994,273.062012,258.75,271.687988,266.160248,10393349,279.906006,268.812012
21-05-2008,270,279.906006,268.812012,277.062012,271.424957,9309131,279.656006,266.968994
22-05-2008,275,279.656006,266.968994,274.656006,269.067902,10116458,284.375,272.5
23-05-2008,284.375,284.375,272.5,274.812012,269.220734,7693795,278.062012,261.625
26-05-2008,273.062012,278.062012,261.625,263.562012,258.199615,8709155,268,254.561996
27-05-2008,264.375,268,254.561996,258.343994,253.087769,10790522,261.25,250.75
28-05-2008,255.031006,261.25,250.75,256.875,251.648651,9862773,266.562012,251.311996
29-05-2008,256.25,266.562012,251.311996,255.188004,249.995987,15183637,310,231
30-05-2008,308.5,310,231,232.899994,228.161438,23337882,238.899994,225
02-06-2008,238,238.899994,225,228.600006,223.948944,6671996,225,215.600006
03-06-2008,225,225,215.600006,218.75,214.299347,7375162,221.699997,201.100006
04-06-2008,220,221.699997,201.100006,202.600006,198.477936,6063290,204.600006,190.75
05-06-2008,202,204.600006,190.75,198.600006,194.559311,8217190,202.399994,191.100006
06-06-2008,201.800003,202.399994,191.100006,193.600006,189.661041,4893935,189.699997,181.350006
09-06-2008,187,189.699997,181.350006,185.149994,181.38295,4357359,191.899994,179.149994
10-06-2008,185,191.899994,179.149994,182.25,178.541962,5335075,188.899994,179.399994
11-06-2008,183.800003,188.899994,179.399994,182.300003,178.590958,4322063,189,175.699997
12-06-2008,180.25,189,175.699997,186.149994,182.36261,4683511,193.399994,183
13-06-2008,188.850006,193.399994,183,187.649994,183.832092,7550605,192.5,184.199997
16-06-2008,190,192.5,184.199997,184.699997,180.942108,4792320,191.899994,182
17-06-2008,185,191.899994,182,190.949997,187.064957,4883472,195,185.399994
18-06-2008,191,195,185.399994,186.350006,182.558548,8960520,185.800003,180
19-06-2008,184,185.800003,180,180.899994,177.219421,3805713,183.899994,173.550003
20-06-2008,182.100006,183.899994,173.550003,174.949997,171.390488,4291529,175,160
23-06-2008,174.050003,175,160,162.600006,159.291763,5203803,164.399994,150.600006
24-06-2008,163.5,164.399994,150.600006,152.699997,149.593185,7329406,157,145.100006
25-06-2008,150.5,157,145.100006,155.600006,152.434189,6808217,158.350006,150
26-06-2008,154.25,158.350006,150,154.050003,150.915726,7409667,150.5,141.100006
27-06-2008,141.100006,150.5,141.100006,145,142.04985,5142241,149.300003,135.199997
30-06-2008,144.25,149.300003,135.199997,136.649994,133.869736,4464904,144.800003,126.099998
01-07-2008,140,144.800003,126.099998,127.550003,124.954887,6072831,134.800003,116.150002
02-07-2008,130,134.800003,116.150002,132.350006,129.657227,11355688,139.399994,122
03-07-2008,130,139.399994,122,130.350006,127.697922,11801745,145,127.25
04-07-2008,145,145,127.25,135.949997,133.183975,14229033,143.449997,134.100006
07-07-2008,137,143.449997,134.100006,135.600006,132.84111,9001575,139.899994,128.149994
08-07-2008,130,139.899994,128.149994,136.899994,134.114639,8839638,149.949997,140
09-07-2008,140,149.949997,140,148.649994,145.62558,11865043,152.850006,146.300003
10-07-2008,148,152.850006,146.300003,147.75,144.743896,9589728,149.949997,139.100006
11-07-2008,147.5,149.949997,139.100006,140.600006,137.73938,7237419,144,136.550003
14-07-2008,140,144,136.550003,137.600006,134.800415,7292220,136.449997,130.5
15-07-2008,134.5,136.449997,130.5,131.050003,128.383682,4876352,134.75,125.099998
16-07-2008,131.300003,134.75,125.099998,127.849998,125.248779,6925866,135.100006,129.199997
17-07-2008,131.25,135.100006,129.199997,131.800003,129.118423,4315449,134.5,130.5
18-07-2008,132,134.5,130.5,132.300003,129.608246,5492335,134.649994,129.649994
21-07-2008,131,134.649994,129.649994,132.199997,129.510269,3057858,144.199997,132
22-07-2008,132,144.199997,132,142.75,139.845627,10386449,173.300003,147.399994
23-07-2008,147.399994,173.300003,147.399994,171.100006,167.618835,23262756,189.699997,171.550003
24-07-2008,175.149994,189.699997,171.550003,176,172.419128,29735408,175.399994,166.199997
25-07-2008,166.199997,175.399994,166.199997,168.850006,165.414612,16940176,173,168.199997
28-07-2008,169,173,168.199997,169.199997,165.757477,6962908,167.25,151.699997
29-07-2008,165,167.25,151.699997,154.149994,151.013672,12340749,163.899994,156.199997
30-07-2008,156.199997,163.899994,156.199997,163.149994,159.830566,9880321,168.699997,162.149994
31-07-2008,163.550003,168.699997,162.149994,165.600006,162.230728,9400059,172,161
01-08-2008,162.5,172,161,170,166.541199,11095823,173.75,166.350006
04-08-2008,169,173.75,166.350006,170.949997,167.471878,8392542,175,169.699997
05-08-2008,170,175,169.699997,172.050003,168.5495,7175321,176.600006,165.100006
06-08-2008,174.300003,176.600006,165.100006,166.850006,163.455292,6388597,170.5,163.550003
07-08-2008,165.800003,170.5,163.550003,166.5,163.112411,6049866,170.899994,164.949997
08-08-2008,166,170.899994,164.949997,169.300003,165.855453,7108844,172.949997,169.25
11-08-2008,171.399994,172.949997,169.25,170.149994,166.688141,4299790,175,169.550003
12-08-2008,170.850006,175,169.550003,171.149994,167.667801,7313424,173.5,169.199997
13-08-2008,169.75,173.5,169.199997,171.850006,168.353561,4445229,171.949997,163.399994
14-08-2008,170,171.949997,163.399994,164.5,161.153107,4268933,166.899994,161.199997
18-08-2008,165.899994,166.899994,161.199997,161.75,158.459061,3501146,161,154
19-08-2008,161,161,154,157.100006,153.903671,4192549,163.399994,158.199997
20-08-2008,159.649994,163.399994,158.199997,160.649994,157.381424,4006518,160.25,155
21-08-2008,160.199997,160.25,155,155.399994,152.238251,4317188,158,152.649994
22-08-2008,154,158,152.649994,157.050003,153.854691,3358694,160.050003,154.300003
25-08-2008,160,160.050003,154.300003,155.25,152.091309,2614746,156.850006,152.899994
26-08-2008,154.850006,156.850006,152.899994,155.949997,152.777054,2408023,156.899994,153.899994
27-08-2008,156,156.899994,153.899994,154.5,151.356567,1866762,155.850006,152
28-08-2008,154.899994,155.850006,152,153.550003,150.425888,3812859,158.5,155.149994
29-08-2008,155.149994,158.5,155.149994,157.350006,154.14859,3031521,157.5,154.449997
01-09-2008,156.699997,157.5,154.449997,157,153.805695,1908535,163,157.100006
02-09-2008,158,163,157.100006,161.199997,157.920242,3703715,160.800003,157.300003
04-09-2008,159.699997,160.800003,157.300003,159.449997,156.205841,2216674,166.899994,155.550003
05-09-2008,157,166.899994,155.550003,163,159.683624,6204134,178.199997,168
08-09-2008,169,178.199997,168,168.75,165.316635,8646923,171.5,164.350006
09-09-2008,168,171.5,164.350006,169.149994,165.708496,11457895,171.350006,166.75
10-09-2008,168,171.350006,166.75,170.100006,166.639175,9887074,171,166.050003
11-09-2008,170,171,166.050003,168.699997,165.267654,7534391,172.800003,165.25
12-09-2008,170,172.800003,165.25,168.300003,164.875793,8386717,165,149.600006
15-09-2008,165,165,149.600006,156.850006,153.658752,7842970,162.800003,148.5
16-09-2008,150.649994,162.800003,148.5,160.649994,157.381424,5971051,163,155.649994
17-09-2008,163,163,155.649994,157.149994,153.952637,4024329,157.899994,145.100006
18-09-2008,150,157.899994,145.100006,156.25,153.070953,5268036,166.949997,159.100006
19-09-2008,161,166.949997,159.100006,164.350006,161.006165,6092179,167.699997,159.050003
22-09-2008,167.699997,167.699997,159.050003,160.699997,157.43042,3842954,165.350006,156.699997
23-09-2008,156.699997,165.350006,156.699997,160.149994,156.891602,7467889,165.899994,159.25
24-09-2008,161.899994,165.899994,159.25,161.399994,158.116165,4288560,166.399994,160
25-09-2008,161.850006,166.399994,160,165.25,161.887848,10740865,166,159.100006
26-09-2008,165.600006,166,159.100006,162.050003,158.75296,7377585,165.350006,149.050003
29-09-2008,161.5,165.350006,149.050003,152.100006,149.005402,7144774,156.25,141
30-09-2008,145.199997,156.25,141,153.300003,150.180984,6008679,157,151.550003
01-10-2008,154.800003,157,151.550003,154.649994,151.50351,4839819,156.899994,148.350006
03-10-2008,155,156.899994,148.350006,149.149994,146.115402,5454245,151,137.699997
06-10-2008,150,151,137.699997,139.300003,136.46582,3919033,148.399994,140.199997
07-10-2008,142.899994,148.399994,140.199997,146.300003,143.32341,5121200,142.149994,130.550003
08-10-2008,140.100006,142.149994,130.550003,137.699997,134.898376,5089792,132,118
10-10-2008,130,132,118,124.150002,121.624062,5779803,130.449997,123
13-10-2008,127.5,130.449997,123,129.149994,126.522324,3426867,136.800003,124
14-10-2008,133.550003,136.800003,124,125.599998,123.044556,3524279,126.599998,119.599998
15-10-2008,121.150002,126.599998,119.599998,121.25,118.783066,4831231,119.800003,111.550003
