Date,Open,High,Low,Close,Adj Close,Volume,Next High,Next Low
14-12-1998,1.73968,1.73968,1.60188,1.60188,-0.000671,42091,1.47786,1.47442
15-12-1998,1.47786,1.47786,1.47442,1.47442,-0.000617,26126,1.35729,1.35729
16-12-1998,1.35729,1.35729,1.35729,1.35729,-0.000568,79828,1.34696,1.20572
17-12-1998,1.20572,1.34696,1.20572,1.25739,-0.000526,165462,1.36074,1.27117
18-12-1998,1.27806,1.36074,1.27117,1.34351,-0.000562,76925,1.41241,1.2815
21-12-1998,1.37796,1.41241,1.2815,1.35729,-0.000568,103051,1.39174,1.2815
22-12-1998,1.37796,1.39174,1.2815,1.34696,-0.000564,227873,1.36418,1.34351
23-12-1998,1.36418,1.36418,1.34351,1.36418,-0.000571,39188,1.36763,1.31251
24-12-1998,1.31251,1.36763,1.31251,1.31595,-0.000551,24674,1.32629,1.29528
28-12-1998,1.32629,1.32629,1.29528,1.31595,-0.000551,55154,1.32629,1.24017
29-12-1998,1.24017,1.32629,1.24017,1.29184,-0.000541,44994,1.41241,1.35729
30-12-1998,1.35729,1.41241,1.35729,1.40208,-0.000587,162559,1.44686,1.36074
31-12-1998,1.41241,1.44686,1.36074,1.36074,-0.00057,104502,1.37107,1.35729
01-01-1999,1.36074,1.37107,1.35729,1.35729,-0.000568,49348,1.37796,1.34351
04-01-1999,1.37107,1.37796,1.34351,1.34351,-0.000562,97245,1.43308,1.28839
05-01-1999,1.28839,1.43308,1.28839,1.42619,-0.000597,264158,1.44342,1.38485
06-01-1999,1.38485,1.44342,1.38485,1.44342,-0.000604,79828,1.4882,1.38485
07-01-1999,1.44342,1.4882,1.38485,1.40552,-0.000588,325118,1.47442,1.41241
08-01-1999,1.44686,1.47442,1.41241,1.46064,-0.000612,181427,1.51576,1.41586
11-01-1999,1.47442,1.51576,1.41586,1.44342,-0.000604,117565,1.47442,1.37796
12-01-1999,1.39519,1.47442,1.37796,1.42964,-0.000599,134982,1.46408,1.41241
13-01-1999,1.45719,1.46408,1.41241,1.42619,-0.000597,33383,1.44686,1.32973
14-01-1999,1.34351,1.44686,1.32973,1.38485,-0.00058,43543,1.3883,1.37107
15-01-1999,1.37796,1.3883,1.37107,1.38485,-0.00058,44994,1.35729,1.33318
18-01-1999,1.34351,1.35729,1.33318,1.33318,-0.000558,30480,1.3504,1.27461
19-01-1999,1.34351,1.3504,1.27461,1.27461,-0.000534,78377,1.32629,1.27461
21-01-1999,1.2815,1.32629,1.27461,1.29873,-0.000544,37737,1.33318,1.27461
22-01-1999,1.2815,1.33318,1.27461,1.33318,-0.000558,66765,1.30562,1.24017
25-01-1999,1.29184,1.30562,1.24017,1.24017,-0.000519,55154,1.30906,1.26428
27-01-1999,1.27461,1.30906,1.26428,1.26428,-0.000529,40640,1.27461,1.24017
28-01-1999,1.27461,1.27461,1.24017,1.25395,-0.000525,39188,1.27461,1.20572
29-01-1999,1.20916,1.27461,1.20572,1.27461,-0.000534,34834,1.29873,1.24706
01-02-1999,1.27461,1.29873,1.24706,1.27461,-0.000534,49348,1.27461,1.20572
02-02-1999,1.20916,1.27461,1.20572,1.2195,-0.000511,79828,1.37796,1.13682
03-02-1999,1.37796,1.37796,1.13682,1.16438,-0.000487,94342,1.19538,1.13682
04-02-1999,1.13682,1.19538,1.13682,1.15749,-0.000485,94342,1.17471,1.14371
05-02-1999,1.17471,1.17471,1.14371,1.16438,-0.000487,31931,1.16438,1.10237
08-02-1999,1.16438,1.16438,1.10237,1.10926,-0.000464,55154,1.17127,1.00936
09-02-1999,1.10237,1.17127,1.00936,1.11959,-0.000469,60960,1.13682,1.10237
10-02-1999,1.10237,1.13682,1.10237,1.13682,-0.000476,29028,1.20572,1.04036
11-02-1999,1.04036,1.20572,1.04036,1.13682,-0.000476,34834,1.14371,1.08515
12-02-1999,1.08515,1.14371,1.08515,1.13682,-0.000476,29028,1.10237,1.0507
15-02-1999,1.08515,1.10237,1.0507,1.10237,-0.000462,31931,1.10237,1.03347
16-02-1999,1.03347,1.10237,1.03347,1.06792,-0.000447,34834,1.13682,1.0507
17-02-1999,1.06792,1.13682,1.0507,1.08515,-0.000454,130628,1.10237,1.06792
18-02-1999,1.06792,1.10237,1.06792,1.10237,-0.000462,24674,1.10237,1.0507
19-02-1999,1.0507,1.10237,1.0507,1.10237,-0.000462,31931,1.10237,1.07481
22-02-1999,1.10237,1.10237,1.07481,1.07481,-0.00045,8709,1.04381,1.02314
23-02-1999,1.03347,1.04381,1.02314,1.03347,-0.000433,20320,1.10926,1.08515
24-02-1999,1.10926,1.10926,1.08515,1.08515,-0.000454,4354,1.13682,0.93701
25-02-1999,0.93701,1.13682,0.93701,1.12993,-0.000473,13063,1.11959,1.10581
26-02-1999,1.11959,1.11959,1.10581,1.10926,-0.000464,14514,1.24017,1.16438
01-03-1999,1.16438,1.24017,1.16438,1.18849,-0.000498,50800,1.48131,1.30906
03-03-1999,1.45719,1.48131,1.30906,1.46408,-0.000613,258353,1.44686,1.34696
04-03-1999,1.44686,1.44686,1.34696,1.38141,-0.000578,206101,1.46408,1.31251
05-03-1999,1.32284,1.46408,1.31251,1.41241,-0.000591,333826,1.44342,1.35385
08-03-1999,1.38485,1.44342,1.35385,1.36074,-0.00057,274318,1.41241,1.24361
09-03-1999,1.41241,1.41241,1.24361,1.26084,-0.000528,143690,1.30906,1.24706
10-03-1999,1.24706,1.30906,1.24706,1.27461,-0.000534,52251,1.25739,1.22294
11-03-1999,1.24017,1.25739,1.22294,1.22294,-0.000512,26126,1.27117,1.14371
12-03-1999,1.15404,1.27117,1.14371,1.27117,-0.000532,43543,1.2505,1.20572
15-03-1999,1.20916,1.2505,1.20572,1.24706,-0.000522,59508,1.24706,1.19883
16-03-1999,1.24017,1.24706,1.19883,1.20916,-0.000506,120468,1.25739,1.17127
17-03-1999,1.20572,1.25739,1.17127,1.24017,-0.000519,27577,1.24017,1.17127
18-03-1999,1.17127,1.24017,1.17127,1.22294,-0.000512,14514,1.24706,1.24017
19-03-1999,1.24017,1.24706,1.24017,1.24706,-0.000522,30480,1.19538,1.04725
22-03-1999,1.19538,1.19538,1.04725,1.08515,-0.000454,116114,1.12993,1.03347
23-03-1999,1.10926,1.12993,1.03347,1.08859,-0.000456,230776,1.20227,1.11959
24-03-1999,1.20227,1.20227,1.11959,1.19538,-0.0005,18868,1.20572,1.14026
25-03-1999,1.18505,1.20572,1.14026,1.1816,-0.000495,136433,1.17127,1.14371
26-03-1999,1.14371,1.17127,1.14371,1.17127,-0.00049,2903,1.24017,1.10237
30-03-1999,1.20227,1.24017,1.10237,1.10237,-0.000462,105954,1.20572,1.14371
31-03-1999,1.20572,1.20572,1.14371,1.14371,-0.000479,24674,1.16782,1.13337
01-04-1999,1.14371,1.16782,1.13337,1.16782,-0.000489,60960,1.09892,1.03347
05-04-1999,1.08515,1.09892,1.03347,1.09892,-0.00046,121919,1.10237,1.06792
06-04-1999,1.06792,1.10237,1.06792,1.10237,-0.000462,111759,1.11959,1.0817
07-04-1999,1.0817,1.11959,1.0817,1.11959,-0.000469,7257,1.14026,1.10237
08-04-1999,1.11959,1.14026,1.10237,1.11959,-0.000469,29028,1.11615,1.08515
09-04-1999,1.08515,1.11615,1.08515,1.10237,-0.000462,40640,1.10237,1.0817
12-04-1999,1.09548,1.10237,1.0817,1.10237,-0.000462,11611,1.11959,1.08859
13-04-1999,1.11959,1.11959,1.08859,1.10237,-0.000462,75474,1.13682,1.09892
15-04-1999,1.09892,1.13682,1.09892,1.11959,-0.000469,20320,1.20227,1.10237
16-04-1999,1.13682,1.20227,1.10237,1.20227,-0.000503,34834,1.09548,1.06792
19-04-1999,1.06792,1.09548,1.06792,1.08859,-0.000456,10160,1.17471,1.06792
20-04-1999,1.17127,1.17471,1.06792,1.06792,-0.000447,72571,1.16438,1.13337
21-04-1999,1.15404,1.16438,1.13337,1.15404,-0.000483,52251,1.13682,1.10237
22-04-1999,1.11959,1.13682,1.10237,1.10237,-0.000462,8709,1.12648,1.10237
23-04-1999,1.10237,1.12648,1.10237,1.11959,-0.000469,7257,1.10237,1.0507
26-04-1999,1.10237,1.10237,1.0507,1.0507,-0.00044,116114,1.13682,1.0817
28-04-1999,1.0817,1.13682,1.0817,1.13682,-0.000476,50800,1.13682,1.10926
29-04-1999,1.13682,1.13682,1.10926,1.1127,-0.000466,13063,1.17127,1.10237
30-04-1999,1.12304,1.17127,1.10237,1.10926,-0.000464,89988,1.13682,1.10237
03-05-1999,1.13682,1.13682,1.10237,1.10926,-0.000464,31931,1.13682,1.09203
04-05-1999,1.09203,1.13682,1.09203,1.13682,-0.000476,63862,1.23672,1.15404
05-05-1999,1.15404,1.23672,1.15404,1.17127,-0.00049,66765,1.15749,1.15404
06-05-1999,1.15749,1.15749,1.15404,1.15404,-0.000483,23223,1.15749,1.10237
07-05-1999,1.10581,1.15749,1.10237,1.10237,-0.000462,114662,1.17816,1.10237
10-05-1999,1.10237,1.17816,1.10237,1.17816,-0.000493,89988,1.13682,1.09892
11-05-1999,1.10926,1.13682,1.09892,1.13337,-0.000475,107405,1.15404,1.10237
12-05-1999,1.12304,1.15404,1.10237,1.10237,-0.000462,49348,1.14715,1.10237
13-05-1999,1.10581,1.14715,1.10237,1.14026,-0.000477,27577,1.17127,1.10237
14-05-1999,1.17127,1.17127,1.10237,1.13682,-0.000476,74022,1.15404,1.09892
17-05-1999,1.13682,1.15404,1.09892,1.10237,-0.000462,47897,1.13682,1.10237
18-05-1999,1.13682,1.13682,1.10237,1.10237,-0.000462,44994,1.2195,1.14026
19-05-1999,1.17127,1.2195,1.14026,1.18849,-0.000498,210456,1.34351,1.21261
20-05-1999,1.2195,1.34351,1.21261,1.2195,-0.000511,140788,1.22294,1.17127
21-05-1999,1.20572,1.22294,1.17127,1.17127,-0.00049,46445,1.17127,1.13682
24-05-1999,1.17127,1.17127,1.13682,1.13682,-0.000476,100148,1.16782,1.12993
25-05-1999,1.12993,1.16782,1.12993,1.14715,-0.00048,117565,1.17127,1.11959
26-05-1999,1.17127,1.17127,1.11959,1.14026,-0.000477,130628,1.15749,1.12648
27-05-1999,1.15404,1.15749,1.12648,1.12993,-0.000473,44994,1.15404,1.10237
28-05-1999,1.12304,1.15404,1.10237,1.15404,-0.000483,87085,1.19883,1.15404
31-05-1999,1.17127,1.19883,1.15404,1.18505,-0.000496,56605,1.1816,1.13682
01-06-1999,1.16782,1.1816,1.13682,1.17127,-0.00049,44994,1.16782,1.14371
02-06-1999,1.14715,1.16782,1.14371,1.14371,-0.000479,26126,1.24017,1.15749
03-06-1999,1.17127,1.24017,1.15749,1.18849,-0.000498,94342,1.23328,1.18849
04-06-1999,1.20572,1.23328,1.18849,1.19194,-0.000499,33383,1.24017,1.1816
07-06-1999,1.18849,1.24017,1.1816,1.18505,-0.000496,43543,1.23328,1.17127
08-06-1999,1.17127,1.23328,1.17127,1.17816,-0.000493,47897,1.24706,1.20916
09-06-1999,1.24706,1.24706,1.20916,1.24017,-0.000519,39188,1.22294,1.17127
11-06-1999,1.17816,1.22294,1.17127,1.17127,-0.00049,56605,1.1506,1.10237
14-06-1999,1.11959,1.1506,1.10237,1.14026,-0.000477,150948,1.12648,1.10581
15-06-1999,1.12648,1.12648,1.10581,1.10926,-0.000464,36285,1.17127,1.11959
16-06-1999,1.17127,1.17127,1.11959,1.11959,-0.000469,97245,1.13682,1.13337
17-06-1999,1.13682,1.13682,1.13337,1.13337,-0.000475,17417,1.13682,1.06792
18-06-1999,1.12304,1.13682,1.06792,1.07481,-0.00045,71120,1.10237,1.06792
21-06-1999,1.06792,1.10237,1.06792,1.10237,-0.000462,37737,1.11959,1.07481
22-06-1999,1.10237,1.11959,1.07481,1.10926,-0.000464,75474,1.22294,1.08515
23-06-1999,1.08515,1.22294,1.08515,1.13682,-0.000476,168365,1.17816,1.12304
24-06-1999,1.17127,1.17816,1.12304,1.12648,-0.000472,56605,1.16782,1.10237
25-06-1999,1.12993,1.16782,1.10237,1.1127,-0.000466,130628,1.12304,1.09203
28-06-1999,1.09548,1.12304,1.09203,1.11615,-0.000467,43543,1.17816,1.10237
29-06-1999,1.11959,1.17816,1.10237,1.12304,-0.00047,89988,1.15749,1.15749
30-06-1999,1.15749,1.15749,1.15749,1.15749,-0.000485,7257,1.13682,1.10237
01-07-1999,1.10926,1.13682,1.10237,1.10926,-0.000464,50800,1.15749,1.10237
02-07-1999,1.12993,1.15749,1.10237,1.12304,-0.00047,37737,1.14371,1.11615
05-07-1999,1.12993,1.14371,1.11615,1.14371,-0.000479,17417,1.14371,1.10581
06-07-1999,1.12993,1.14371,1.10581,1.11959,-0.000469,47897,1.14371,1.10237
