Date,Open,High,Low,Close,Adj Close,Volume,Next High,Next Low
01-01-1996,1.81293,1.8048,1.80325,1.80325,0.011951,38730,1.80093,1.74322
02-01-1996,1.80093,1.80093,1.74322,1.74322,0.011553,77460,1.75058,1.75058
03-01-1996,1.74322,1.75058,1.75058,1.75058,0.011602,12910,1.75832,1.74283
04-01-1996,1.74671,1.75832,1.74283,1.74283,0.01155,64550,1.73857,1.73857
05-01-1996,1.73857,1.73857,1.73857,1.73857,0.011522,12910,1.73509,1.66537
08-01-1996,1.72734,1.73509,1.66537,1.66537,0.011037,167830,1.64949,1.61696
09-01-1996,1.62664,1.64949,1.61696,1.61696,0.010716,309840,1.7041,1.61115
10-01-1996,1.61696,1.7041,1.61115,1.70372,0.011291,490581,1.67312,1.67312
11-01-1996,1.67312,1.67312,1.67312,1.67312,0.011088,38730,1.70372,1.66537
12-01-1996,1.66537,1.70372,1.66537,1.69636,0.011242,77460,1.67312,1.66615
15-01-1996,1.67312,1.67312,1.66615,1.66615,0.011042,116190,1.7041,1.64214
16-01-1996,1.67312,1.7041,1.64214,1.68861,0.011191,1665393,1.68474,1.54918
17-01-1996,1.68861,1.68474,1.54918,1.66537,0.011037,387301,1.66537,1.63439
18-01-1996,1.66537,1.66537,1.63439,1.65375,0.01096,129100,1.64794,1.6189
19-01-1996,1.63439,1.64794,1.6189,1.62006,0.010737,219470,1.62664,1.58791
22-01-1996,1.62006,1.62664,1.58791,1.62664,0.01078,116190,1.62664,1.55693
23-01-1996,1.62664,1.62664,1.55693,1.6189,0.010729,167830,1.61502,1.58094
24-01-1996,1.6189,1.61502,1.58094,1.59798,0.01059,296930,1.61115,1.57242
25-01-1996,1.59798,1.61115,1.57242,1.60418,0.010631,232380,1.6189,1.5732
29-01-1996,1.60418,1.6189,1.5732,1.6189,0.010729,51640,1.64214,1.60922
30-01-1996,1.6189,1.64214,1.60922,1.63826,0.010857,1665393,1.63439,1.58985
31-01-1996,1.63826,1.63439,1.58985,1.62897,0.010796,77460,1.65763,1.64988
01-02-1996,1.62897,1.65763,1.64988,1.64988,0.010934,25820,1.7409,1.7041
02-02-1996,1.64988,1.7409,1.7041,1.71921,0.011394,142010,1.77963,1.76413
05-02-1996,1.71921,1.77963,1.76413,1.77769,0.011781,116190,1.80286,1.76646
06-02-1996,1.77769,1.80286,1.76646,1.76646,0.011707,154920,1.78156,1.71959
07-02-1996,1.74283,1.78156,1.71959,1.78156,0.011807,142010,1.85902,1.77769
08-02-1996,1.78156,1.85902,1.77769,1.85128,0.012269,348571,1.97134,1.87451
09-02-1996,1.89775,1.97134,1.87451,1.97134,0.013065,374391,1.96746,1.89775
12-02-1996,1.93609,1.96746,1.89775,1.93416,0.012818,271110,1.97444,1.89775
13-02-1996,1.93416,1.97444,1.89775,1.96746,0.013039,503491,2.05267,1.95197
14-02-1996,1.95197,2.05267,1.95197,2.04028,0.013521,490581,2.0914,2.01394
15-02-1996,2.01394,2.0914,2.01394,2.04957,0.013583,361481,2.15337,2.05344
16-02-1996,2.04957,2.15337,2.05344,2.13129,0.014125,1420102,2.13787,2.0914
19-02-1996,2.10186,2.13787,2.0914,2.13052,0.014119,890791,2.2072,2.13013
20-02-1996,2.13052,2.2072,2.13013,2.16692,0.014361,787511,2.1766,2.13787
22-02-1996,2.16692,2.1766,2.13787,2.16925,0.014376,568041,2.18435,2.16886
23-02-1996,2.16886,2.18435,2.16886,2.16886,0.014374,3072585,2.18435,2.16925
26-02-1996,2.16886,2.18435,2.16925,2.17002,0.014381,361481,2.17273,2.16886
27-02-1996,2.17002,2.17273,2.16886,2.16886,0.014374,1213542,2.1766,2.16499
28-02-1996,2.16886,2.1766,2.16499,2.17273,0.014399,542221,2.1766,2.16886
29-02-1996,2.17273,2.1766,2.16886,2.16925,0.014376,1097352,2.1766,2.16925
01-03-1996,2.16925,2.1766,2.16925,2.17157,0.014392,942431,2.20565,2.16847
04-03-1996,2.17157,2.20565,2.16847,2.18203,0.014461,1665393,2.16925,2.13052
06-03-1996,2.18203,2.16925,2.13052,2.13052,0.014119,180740,2.10689,2.06816
07-03-1996,2.13052,2.10689,2.06816,2.06816,0.013706,38730,2.06816,1.98334
08-03-1996,1.98334,2.06816,1.98334,2.03989,0.013519,619681,2.0914,2.03137
11-03-1996,2.0914,2.0914,2.03137,2.07203,0.013732,154920,2.05267,2.02943
12-03-1996,2.07203,2.05267,2.02943,2.03756,0.013503,129100,2.06816,2.04531
13-03-1996,2.03756,2.06816,2.04531,2.05809,0.013639,77460,2.0914,2.05461
14-03-1996,2.05809,2.0914,2.05461,2.05461,0.013616,129100,2.05267,2.02982
15-03-1996,2.05461,2.05267,2.02982,2.05267,0.013604,64550,2.04492,2.03718
18-03-1996,2.05267,2.04492,2.03718,2.03718,0.013501,180740,2.05848,2.01394
19-03-1996,2.03718,2.05848,2.01394,2.03369,0.013478,271110,2.02207,2.01394
21-03-1996,2.03369,2.02207,2.01394,2.02207,0.013401,129100,2.03718,2.02943
22-03-1996,2.02207,2.03718,2.02943,2.02943,0.01345,142010,2.02169,2.00619
25-03-1996,2.02943,2.02169,2.00619,2.02169,0.013398,64550,2.04492,2.00619
26-03-1996,2.02169,2.04492,2.00619,2.04492,0.013552,64550,2.06042,2.05267
27-03-1996,2.05267,2.06042,2.05267,2.05306,0.013606,90370,2.06777,2.05306
28-03-1996,2.05306,2.06777,2.05306,2.06777,0.013704,90370,2.07591,2.05654
29-03-1996,2.06777,2.07591,2.05654,2.07591,0.013758,77460,2.07591,2.07591
01-04-1996,2.07591,2.07591,2.07591,2.07591,0.013758,64550,2.13013,2.05306
02-04-1996,2.05306,2.13013,2.05306,2.09914,0.013912,374391,2.10689,2.07591
03-04-1996,2.09914,2.10689,2.07591,2.10108,0.013924,77460,2.09914,2.07591
04-04-1996,2.0914,2.09914,2.07591,2.0914,0.01386,167830,2.09721,2.05306
08-04-1996,2.05306,2.09721,2.05306,2.09334,0.013873,555131,2.10689,2.06042
09-04-1996,2.09334,2.10689,2.06042,2.0914,0.01386,413121,2.07591,2.06235
10-04-1996,2.0914,2.07591,2.06235,2.06235,0.013668,129100,2.05267,2.01394
11-04-1996,2.06235,2.05267,2.01394,2.02943,0.01345,90370,2.012,1.98296
12-04-1996,1.99845,2.012,1.98296,2.00581,0.013293,245290,2.00619,1.9907
15-04-1996,1.9907,2.00619,1.9907,2.00232,0.01327,51640,2.02943,1.99845
16-04-1996,2.00232,2.02943,1.99845,2.02943,0.01345,193650,2.05267,2.01626
17-04-1996,2.01626,2.05267,2.01626,2.05267,0.013604,90370,2.15337,2.05267
18-04-1996,2.05267,2.15337,2.05267,2.13013,0.014117,258200,2.1766,2.11464
19-04-1996,2.13013,2.1766,2.11464,2.15685,0.014294,529311,2.19984,2.09992
22-04-1996,2.15685,2.19984,2.09992,2.14059,0.014186,516401,2.11851,2.0914
23-04-1996,2.14059,2.11851,2.0914,2.10728,0.013965,129100,2.20759,2.12238
24-04-1996,2.13013,2.20759,2.12238,2.1615,0.014325,387301,2.16886,2.13013
25-04-1996,2.1615,2.16886,2.13013,2.15608,0.014289,245290,2.12238,2.09179
26-04-1996,2.15608,2.12238,2.09179,2.09179,0.013863,206560,2.12238,2.09217
29-04-1996,2.09179,2.12238,2.09217,2.10031,0.013919,77460,2.1921,2.11464
30-04-1996,2.10031,2.1921,2.11464,2.17351,0.014404,542221,2.30828,2.19326
01-05-1996,2.17351,2.30828,2.19326,2.24903,0.014905,916611,2.28505,2.25445
02-05-1996,2.24903,2.28505,2.25445,2.28001,0.01511,645501,2.32378,2.28505
03-05-1996,2.28001,2.32378,2.28505,2.31448,0.015339,1161902,2.26955,2.21533
06-05-1996,2.31448,2.26955,2.21533,2.22037,0.014715,710051,2.23857,2.14639
07-05-1996,2.22037,2.23857,2.14639,2.20604,0.01462,981162,2.24632,2.13013
08-05-1996,2.20604,2.24632,2.13013,2.20759,0.01463,361481,2.19093,2.13013
09-05-1996,2.20759,2.19093,2.13013,2.15298,0.014268,451851,2.10379,2.03718
10-05-1996,2.15298,2.10379,2.03718,2.10379,0.013942,154920,2.18396,2.12626
13-05-1996,2.10379,2.18396,2.12626,2.1766,0.014425,206560,2.18435,2.13052
14-05-1996,2.1766,2.18435,2.13052,2.14368,0.014207,271110,2.22889,2.16886
