Date,Open,High,Low,Close,Adj Close,Volume,Next High,Next Low
19-10-2005,127.800003,139.740005,116.050003,138.570007,131.458679,152125030,141.550003,127.400002
20-10-2005,140.199997,141.550003,127.400002,129.380005,122.740295,39078530,139,127.050003
21-10-2005,127.050003,139,127.050003,134.770004,127.853683,25623135,138,129.660004
24-10-2005,137.399994,138,129.660004,130.789993,124.077927,11125060,132.729996,128.259995
25-10-2005,128.259995,132.729996,128.259995,131.839996,125.074051,6320275,138.360001,130.070007
26-10-2005,131.979996,138.360001,130.070007,137.580002,130.519455,13556210,140.740005,132.240005
27-10-2005,137.779999,140.740005,132.240005,135.169998,128.233154,13478755,134.600006,130.070007
28-10-2005,134,134.600006,130.070007,131.130005,124.400482,5256020,144,131.199997
31-10-2005,133,144,131.199997,142.919998,135.585434,12006200,148.279999,136.960007
02-11-2005,142,148.279999,136.960007,147.419998,139.854492,16290765,152.979996,142.059998
07-11-2005,148,152.979996,142.059998,145.070007,137.625107,13134575,158.399994,145.5
08-11-2005,146.759995,158.399994,145.5,152.729996,144.891983,15359750,157.199997,147.949997
09-11-2005,152,157.199997,147.949997,149.309998,141.647491,13900770,154.139999,149.300003
10-11-2005,150.600006,154.139999,149.300003,152.399994,144.578918,8491745,156.789993,152.600006
11-11-2005,152.800003,156.789993,152.600006,155.139999,147.178299,7659220,155.779999,150
14-11-2005,154.770004,155.779999,150,150.460007,142.738495,6335365,157.800003,149.610001
16-11-2005,157.800003,157.800003,149.610001,150.289993,142.577194,4455860,154.960007,150
17-11-2005,151.029999,154.960007,150,152.759995,144.920441,5896255,155.199997,150.399994
18-11-2005,153,155.199997,150.399994,151.179993,143.421524,3805950,153.149994,148
21-11-2005,151.399994,153.149994,148,148.820007,141.182663,4800235,150.179993,145.649994
22-11-2005,148.600006,150.179993,145.649994,146.350006,138.839417,4998260,149.160004,145.199997
23-11-2005,147.509995,149.160004,145.199997,148.089996,140.490112,3798875,151,147.800003
24-11-2005,149,151,147.800003,148.630005,141.002396,5535315,152.5,149.399994
25-11-2005,149.979996,152.5,149.399994,151.820007,144.028702,5412840,164.940002,155.199997
28-11-2005,155.600006,164.940002,155.199997,164.259995,155.830261,9745870,173,165
29-11-2005,165,173,165,171.289993,162.499496,15172620,177.570007,168.529999
