Date,Open,High,Low,Close,Adj Close,Volume,Next High,Next Low
01-01-1996,10.7625,11,10.7625,10.925,0.00003,44000,11.0262,10.825
02-01-1996,10.925,11.0262,10.825,10.9012,0.00003,34000,11,10.9
03-01-1996,10.9012,11,10.9,11,0.00003,16000,10.875,10.75
04-01-1996,10.75,10.875,10.75,10.75,0.00003,24000,10.75,10.5
05-01-1996,10.5,10.75,10.5,10.6875,0.000029,10000,10.625,10.4
08-01-1996,10.625,10.625,10.4,10.4,0.000029,10000,10.4375,10.4012
09-01-1996,10.4288,10.4375,10.4012,10.4012,0.000029,24000,10.425,10.425
10-01-1996,10.425,10.425,10.425,10.425,0.000029,2000,10.2825,10.275
11-01-1996,10.275,10.2825,10.275,10.2825,0.000028,4000,10.3275,10.25
12-01-1996,10.2825,10.3275,10.25,10.2513,0.000028,38000,10.3438,10.2875
15-01-1996,10.2513,10.3438,10.2875,10.2887,0.000028,12000,10.1538,10.1287
16-01-1996,10.1287,10.1538,10.1287,10.1538,0.000028,6000,10.0763,10.0638
17-01-1996,10.0638,10.0763,10.0638,10.0763,0.000028,10000,9.95,9.6375
18-01-1996,9.875,9.95,9.6375,9.6375,0.000026,10000,9.875,9.625
22-01-1996,9.6375,9.875,9.625,9.8325,0.000027,16000,9.85,9.77625
23-01-1996,9.8325,9.85,9.77625,9.77625,0.000027,8000,9.875,9.75
24-01-1996,9.75,9.875,9.75,9.825,0.000027,12000,9.825,9.75
25-01-1996,9.75,9.825,9.75,9.775,0.000027,16000,9.675,9.55
29-01-1996,9.775,9.675,9.55,9.55,0.000026,14000,9.875,9.62625
30-01-1996,9.55,9.875,9.62625,9.62625,0.000026,6000,9.875,9.625
01-02-1996,9.875,9.875,9.625,9.625,0.000026,4000,9.7,9.625
02-02-1996,9.625,9.7,9.625,9.7,0.000027,14000,9.8125,9.75
05-02-1996,9.8125,9.8125,9.75,9.75,0.000027,4000,9.8125,9.675
06-02-1996,9.75,9.8125,9.675,9.8125,0.000027,12000,9.75125,9.75
07-02-1996,9.75125,9.75125,9.75,9.75,0.000027,8000,10.125,9.7
09-02-1996,9.75,10.125,9.7,9.7,0.000027,46000,9.75,9.75
12-02-1996,9.7,9.75,9.75,9.75,0.000027,2000,9.75,9.625
13-02-1996,9.75,9.75,9.625,9.625,0.000026,12000,10,9.5
14-02-1996,9.5,10,9.5,10,0.000027,12000,10.125,10
15-02-1996,10,10.125,10,10,0.000027,34000,10.15,10.05
16-02-1996,10,10.15,10.05,10.05,0.000028,46000,9.875,9.8
19-02-1996,10.05,9.875,9.8,9.85,0.000027,14000,9.975,9.625
20-02-1996,9.85,9.975,9.625,9.6875,0.000027,24000,9.875,9.75
22-02-1996,9.75,9.875,9.75,9.875,0.000027,18000,10,9.875
26-02-1996,9.875,10,9.875,10,0.000027,22000,10.125,10
27-02-1996,10,10.125,10,10.1,0.000028,14000,9.875,9.75
