Date,Open,High,Low,Close,Adj Close,Volume,Next High,Next Low
01-01-1996,1.125,1.125,1.125,1.125,-0.008626,20000,1.0375,1.0375
02-01-1996,1.0375,1.0375,1.0375,1.0375,-0.007955,40000,1.075,1.075
03-01-1996,1.075,1.075,1.075,1.075,-0.008242,20000,1.075,1.075
04-01-1996,1.075,1.075,1.075,1.075,-0.008242,120000,1.0825,1.075
09-01-1996,1.0825,1.0825,1.075,1.075,-0.008242,40000,1.0765,1.075
10-01-1996,1.075,1.0765,1.075,1.0765,-0.008254,60000,1.0875,1.065
11-01-1996,1.0765,1.0875,1.065,1.075,-0.008242,80000,1.075,1.075
12-01-1996,1.075,1.075,1.075,1.075,-0.008242,20000,1.05,1.05
16-01-1996,1.05,1.05,1.05,1.05,-0.008051,20000,1.07,1.07
18-01-1996,1.05,1.07,1.07,1.07,-0.008204,20000,1.055,1.05
19-01-1996,1.055,1.055,1.05,1.05,-0.008051,40000,1.07,1.03013
22-01-1996,1.03013,1.07,1.03013,1.07,-0.008204,100000,1.05,1.05
23-01-1996,1.07,1.05,1.05,1.05,-0.008051,80000,1.05,1.0475
24-01-1996,1.0475,1.05,1.0475,1.05,-0.008051,40000,1.05125,1.0375
25-01-1996,1.04875,1.05125,1.0375,1.05,-0.008051,620000,1.05125,1.0375
29-01-1996,1.0375,1.05125,1.0375,1.05,-0.008051,440000,1.04988,1.00013
30-01-1996,1.05,1.04988,1.00013,1.04138,-0.007985,120000,1.075,1.0625
02-02-1996,1.0625,1.075,1.0625,1.075,-0.008242,40000,1.05,1.05
06-02-1996,1.05,1.05,1.05,1.05,-0.008051,80000,1.07475,1.07475
12-02-1996,1.07475,1.07475,1.07475,1.07475,-0.008241,40000,1.125,1.125
16-02-1996,1.125,1.125,1.125,1.125,-0.008626,60000,1.125,1.125
26-02-1996,1.125,1.125,1.125,1.125,-0.008626,20000,1.1,1.0875
27-02-1996,1.1,1.1,1.0875,1.0875,-0.008338,40000,1.125,1.10013
28-02-1996,1.10013,1.125,1.10013,1.125,-0.008626,80000,1.125,1.125
01-03-1996,1.125,1.125,1.125,1.125,-0.008626,20000,1.125,1.1
04-03-1996,1.1,1.125,1.1,1.125,-0.008626,40000,1.125,1.1125
08-03-1996,1.1125,1.125,1.1125,1.11875,-0.008578,40000,1.125,1.125
12-03-1996,1.125,1.125,1.125,1.125,-0.008626,20000,1.05013,1.05013
13-03-1996,1.05013,1.05013,1.05013,1.05013,-0.008052,400000,1.075,1.065
15-03-1996,1.075,1.075,1.065,1.065,-0.008166,60000,1.1,1.0875
18-03-1996,1.0875,1.1,1.0875,1.1,-0.008434,60000,1.125,1.10013
