Date,Open,High,Low,Close,Adj Close,Volume,Next High,Next Low
12-07-2005,13.18,14,12,12.17,7.810764,244941515,12.6,11.49
13-07-2005,12.2,12.6,11.49,11.74,7.534786,64111620,12,11.4
14-07-2005,12,12,11.4,11.45,7.348665,16282865,12.89,11.25
15-07-2005,11.25,12.89,11.25,12.37,7.939126,75448030,13.14,12.5
18-07-2005,12.54,13.14,12.5,12.82,8.227937,75684775,13,12.62
19-07-2005,13,13,12.62,12.79,8.208683,25445935,12.97,12.6
20-07-2005,12.82,12.97,12.6,12.7,8.150919,9406670,12.8,12.45
21-07-2005,12.78,12.8,12.45,12.5,8.022559,10164570,12.6,12.36
22-07-2005,12.56,12.6,12.36,12.41,7.964798,5026005,12.6,12.22
25-07-2005,12.6,12.6,12.22,12.28,7.881363,5403485,12.8,12.2
26-07-2005,12.32,12.8,12.2,12.49,8.01614,11647700,12.9,12.47
27-07-2005,12.66,12.9,12.47,12.71,8.157339,12481020,12.85,12.4
29-07-2005,12.71,12.85,12.4,12.49,8.01614,6186465,12.86,12.55
01-08-2005,12.61,12.86,12.55,12.66,8.125249,17954690,14.86,12.8
02-08-2005,12.8,14.86,12.8,14.32,9.190643,154283555,14.57,13.63
03-08-2005,14.5,14.57,13.63,13.91,8.927504,56966635,14.74,13.92
04-08-2005,14,14.74,13.92,14.34,9.20348,42898030,14.55,14.2
05-08-2005,14.3,14.55,14.2,14.31,9.184226,13080370,14.47,14.09
08-08-2005,14.39,14.47,14.09,14.13,9.0687,10771625,14.23,13.71
09-08-2005,14.18,14.23,13.71,13.94,8.946757,7518155,14.7,14
10-08-2005,14,14.7,14,14.3,9.177808,16457335,14.56,14.24
11-08-2005,14.39,14.56,14.24,14.33,9.197062,8931260,14.38,14.1
12-08-2005,14.3,14.38,14.1,14.14,9.07512,4509935,14.29,13.8
16-08-2005,14.18,14.29,13.8,13.89,8.914667,5442010,14.18,13.75
17-08-2005,13.88,14.18,13.75,13.81,8.863324,5179820,14.01,13.71
18-08-2005,13.94,14.01,13.71,13.79,8.850487,4823060,13.93,13.48
19-08-2005,13.93,13.93,13.48,13.58,8.715708,4071670,13.72,13.25
22-08-2005,13.7,13.72,13.25,13.34,8.561675,4580710,13.49,12.78
23-08-2005,13.49,13.49,12.78,12.92,8.292117,7381835,13.18,12.78
24-08-2005,12.84,13.18,12.78,12.93,8.298536,3082390,13.46,12.95
25-08-2005,13,13.46,12.95,13.14,8.433314,2483045,13.6,13.14
26-08-2005,13.22,13.6,13.14,13.24,8.497494,2330370,13.4,12.84
29-08-2005,13.4,13.4,12.84,13.05,8.375551,6227745,13.43,13.14
30-08-2005,13.19,13.43,13.14,13.29,8.529584,2026595,13.73,13.23
31-08-2005,13.4,13.73,13.23,13.41,8.606602,4263315,13.66,13.3
01-09-2005,13.59,13.66,13.3,13.4,8.600183,1910845,14.79,13.14
02-09-2005,13.42,14.79,13.14,14.12,9.062283,17197530,14.3,13.6
05-09-2005,14.22,14.3,13.6,13.66,8.767053,3974285,14.28,13.6
06-09-2005,13.79,14.28,13.6,13.77,8.837652,5798570,13.93,13.6
08-09-2005,13.6,13.93,13.6,13.82,8.86974,2644230,14.67,13.74
09-09-2005,13.97,14.67,13.74,14.54,9.331841,15055895,14.76,14.3
12-09-2005,14.64,14.76,14.3,14.34,9.20348,7265700,14.6,14.18
13-09-2005,14.4,14.6,14.18,14.3,9.177808,6031595,14.72,14.03
14-09-2005,14.51,14.72,14.03,14.34,9.20348,9335740,14.5,14.16
15-09-2005,14.4,14.5,14.16,14.2,9.113628,3526630,14.37,12.98
16-09-2005,14.1,14.37,12.98,14.14,9.07512,2222495,14.29,13.9
19-09-2005,14.29,14.29,13.9,13.96,8.959593,3858115,14.08,13.62
20-09-2005,14.08,14.08,13.62,13.77,8.837652,5424665,13.89,12.71
21-09-2005,13.8,13.89,12.71,13.07,8.388387,16822765,13.16,12.72
22-09-2005,13.16,13.16,12.72,12.78,8.202263,5662030,13.3,12.24
23-09-2005,12.86,13.3,12.24,12.58,8.073902,7912080,13.34,12.78
26-09-2005,12.78,13.34,12.78,13.01,8.349879,4744150,13.38,13.02
27-09-2005,13.1,13.38,13.02,13.29,8.529584,4317720,13.96,13.41
28-09-2005,13.5,13.96,13.41,13.73,8.811977,6920645,13.85,13.44
29-09-2005,13.85,13.85,13.44,13.53,8.683618,3466900,13.59,13.05
30-09-2005,13.52,13.59,13.05,13.27,8.516749,4122065,13.58,13.23
03-10-2005,13.37,13.58,13.23,13.31,8.542421,2110165,13.54,13.35
04-10-2005,13.45,13.54,13.35,13.42,8.61302,3353220,13.9,13.32
05-10-2005,13.54,13.9,13.32,13.55,8.696454,4732285,14.24,13.25
06-10-2005,13.69,14.24,13.25,13.68,8.779889,13031490,14.1,13.66
07-10-2005,13.88,14.1,13.66,13.84,8.882577,8826685,14.43,13.51
10-10-2005,14,14.43,13.51,13.64,8.754216,23831460,13.8,13.38
11-10-2005,13.8,13.8,13.38,13.44,8.625855,5339035,13.57,13.08
13-10-2005,13.46,13.57,13.08,13.13,8.426896,7831490,13.25,12.85
14-10-2005,13.25,13.25,12.85,12.94,8.304953,6389425,13.1,12.55
17-10-2005,13.1,13.1,12.55,12.6,8.08674,5579835,13.23,12.61
18-10-2005,12.72,13.23,12.61,13.14,8.433314,4885790,13.18,12.64
19-10-2005,12.89,13.18,12.64,12.94,8.304953,4822750,13.2,12.8
20-10-2005,13.12,13.2,12.8,12.93,8.298536,4079375,13,12.43
21-10-2005,13,13,12.43,12.71,8.157339,3441255,13.2,12.8
24-10-2005,12.8,13.2,12.8,12.91,8.285697,1777345,13.16,12.8
25-10-2005,13.03,13.16,12.8,13.01,8.349879,1634530,13.15,12.9
26-10-2005,13.15,13.15,12.9,13.08,8.394805,1264560,13.07,12.9
27-10-2005,13,13.07,12.9,13.02,8.356297,1209395,13.09,12.61
28-10-2005,12.99,13.09,12.61,12.69,8.144501,2684195,13.06,12.7
31-10-2005,12.79,13.06,12.7,12.99,8.337044,814635,13.24,12.9
02-11-2005,13.24,13.24,12.9,13.17,8.452567,1030615,13.2,13
07-11-2005,13.2,13.2,13,13.08,8.394805,987395,13.33,12.97
08-11-2005,13.16,13.33,12.97,13.06,8.381969,1147545,13.24,12.96
09-11-2005,13.2,13.24,12.96,13,8.343461,1216820,13.14,13
10-11-2005,13.04,13.14,13,13.04,8.369134,572030,13.39,13.06
11-11-2005,13.16,13.39,13.06,13.3,8.536002,1621930,13.55,13.05
14-11-2005,13.4,13.55,13.05,13.17,8.452567,787545,13.41,13.1
16-11-2005,13.22,13.41,13.1,13.21,8.47824,842275,13.5,13.2
17-11-2005,13.33,13.5,13.2,13.24,8.497494,996905,13.42,13.2
18-11-2005,13.2,13.42,13.2,13.24,8.497494,917240,13.84,13
21-11-2005,13.4,13.84,13,13.52,8.6772,2986850,13.7,13.42
22-11-2005,13.7,13.7,13.42,13.51,8.670782,1249495,13.66,13.53
23-11-2005,13.54,13.66,13.53,13.6,8.728545,1406840,13.74,13.53
24-11-2005,13.74,13.74,13.53,13.6,8.728545,1705855,13.96,13.56
25-11-2005,13.66,13.96,13.56,13.61,8.734962,2617710,13.79,13.5
28-11-2005,13.72,13.79,13.5,13.6,8.728545,1669065,13.72,13.3
